gene_symbol	ensembl
LINC01307	ENSG00000231671
LINC01709	ENSG00000226715
RNU6-965P	ENSG00000252530
RPSAP19	ENSG00000183298
OLFM3	ENSG00000118733
RNU6-352P	ENSG00000252717
AL356280.1	ENSG00000271277
DNAJA1P5	ENSG00000162699
AC114485.1	ENSG00000233359
AC099567.1	ENSG00000230864
COL11A1	ENSG00000060718
SOD2P1	ENSG00000234257
AC095032.2	ENSG00000230759
AC095032.1	ENSG00000224613
RN7SKP285	ENSG00000222069
RNPC3	ENSG00000185946
AMY2B	ENSG00000240038
ACTG1P4	ENSG00000236085
AMY2A	ENSG00000243480
AMY1A	ENSG00000237763
AC105272.1	ENSG00000234441
AMY1B	ENSG00000174876
AMYP1	ENSG00000227408
AMY1C	ENSG00000187733
AL136455.1	ENSG00000225191
AC092506.1	ENSG00000215869
FTLP17	ENSG00000228347
AL591888.1	ENSG00000285981
CDK4P1	ENSG00000225036
LINC01676	ENSG00000230768
SEPTIN2P1	ENSG00000227850
AL512844.2	ENSG00000237897
AL512844.1	ENSG00000232952
LINC01677	ENSG00000233047
AL355306.2	ENSG00000237480
AL355306.1	ENSG00000230932
AL499605.1	ENSG00000270342
AL596327.1	ENSG00000270976
MTATP6P14	ENSG00000233449
MTCO1P14	ENSG00000232551
LINC01661	ENSG00000237460
PRMT6	ENSG00000198890
NTNG1	ENSG00000162631
NDUFA4P1	ENSG00000224550
VAV3	ENSG00000134215
MIR7852	ENSG00000275455
VAV3-AS1	ENSG00000230489
LINC02785	ENSG00000226822
SLC25A24	ENSG00000085491
AL359258.2	ENSG00000260879
AL359258.3	ENSG00000280186
NBPF4	ENSG00000196427
AL359258.1	ENSG00000238122
SLC25A24P1	ENSG00000241361
NBPF5P	ENSG00000243967
SLC25A24P2	ENSG00000238118
AL390038.1	ENSG00000224698
NBPF6	ENSG00000186086
AL392088.2	ENSG00000283354
ST13P21	ENSG00000227832
AL392088.1	ENSG00000226483
FAM102B	ENSG00000162636
HENMT1	ENSG00000162639
AL160171.1	ENSG00000285923
PRPF38B	ENSG00000134186
FNDC7	ENSG00000143107
AL591719.2	ENSG00000232971
STXBP3	ENSG00000116266
AL591719.1	ENSG00000228076
AKNAD1	ENSG00000162641
SPATA42	ENSG00000203897
GPSM2	ENSG00000121957
CLCC1	ENSG00000121940
WDR47	ENSG00000085433
BX679664.2	ENSG00000237349
BX679664.3	ENSG00000244716
BX679664.1	ENSG00000228665
RANP5	ENSG00000228054
TAF13	ENSG00000197780
AL356488.3	ENSG00000273382
TMEM167B	ENSG00000215717
SCARNA2	ENSG00000278249
AL356488.2	ENSG00000270066
AL356488.1	ENSG00000251484
C1orf194	ENSG00000179902
ELAPOR1	ENSG00000116299
SARS1	ENSG00000031698
CELSR2	ENSG00000143126
PSRC1	ENSG00000134222
MYBPHL	ENSG00000221986
SORT1	ENSG00000134243
PSMA5	ENSG00000143106
SYPL2	ENSG00000143028
ATXN7L2	ENSG00000162650
CYB561D1	ENSG00000174151
AMIGO1	ENSG00000181754
GPR61	ENSG00000156097
AL355310.3	ENSG00000254942
GNAI3	ENSG00000065135
RNU6V	ENSG00000206832
AL355310.1	ENSG00000225113
MIR197	ENSG00000284443
GNAT2	ENSG00000134183
AMPD2	ENSG00000116337
AL355310.2	ENSG00000228703
RPL7P8	ENSG00000235045
GSTM4	ENSG00000168765
GSTM2	ENSG00000213366
GSTM1	ENSG00000134184
AC000032.1	ENSG00000260246
GSTM5	ENSG00000134201
AL158847.1	ENSG00000241720
GSTM3	ENSG00000134202
EPS8L3	ENSG00000198758
NDUFA5P10	ENSG00000224927
LINC01768	ENSG00000228420
AL450468.1	ENSG00000235005
AL450468.2	ENSG00000261055
CSF1	ENSG00000184371
AHCYL1	ENSG00000168710
STRIP1	ENSG00000143093
AL160006.1	ENSG00000258634
ALX3	ENSG00000156150
LINC01397	ENSG00000258673
UBL4B	ENSG00000186150
SLC6A17	ENSG00000197106
SLC6A17-AS1	ENSG00000227091
AL355990.1	ENSG00000235526
LINC02586	ENSG00000224965
KCNC4	ENSG00000116396
AL137790.2	ENSG00000282852
AL137790.1	ENSG00000200536
RBM15-AS1	ENSG00000227963
RBM15	ENSG00000162775
LAMTOR5-AS1	ENSG00000224699
SLC16A4	ENSG00000168679
AL355488.1	ENSG00000273373
LAMTOR5	ENSG00000134248
PROK1	ENSG00000143125
AL358215.1	ENSG00000270380
AL358215.2	ENSG00000282887
AL358215.3	ENSG00000283999
CYMP	ENSG00000240194
CYMP-AS1	ENSG00000235407
KCNA10	ENSG00000143105
KCNA2	ENSG00000177301
AL365361.1	ENSG00000259834
KCNA3	ENSG00000177272
Y_RNA	ENSG00000199710
NRBF2P3	ENSG00000237415
OR11I1P	ENSG00000232791
CD53	ENSG00000143119
AL360270.2	ENSG00000261654
AL360270.1	ENSG00000232811
LRIF1	ENSG00000121931
AL360270.3	ENSG00000273010
CCNT2P1	ENSG00000225672
RNA5SP54	ENSG00000252760
DRAM2	ENSG00000156171
CEPT1	ENSG00000134255
AL355816.1	ENSG00000272982
AL355816.2	ENSG00000273221
DENND2D	ENSG00000162777
CHI3L2	ENSG00000064886
CHIAP1	ENSG00000236040
CHIAP2	ENSG00000203878
CHIA	ENSG00000134216
AL356387.1	ENSG00000229283
AL356387.2	ENSG00000232240
PIFO	ENSG00000173947
CHIAP3	ENSG00000234020
HIGD1AP12	ENSG00000236012
PGBP	ENSG00000227179
OVGP1	ENSG00000085465
AL390195.2	ENSG00000260948
UBE2FP3	ENSG00000233337
AL390195.1	ENSG00000243960
WDR77	ENSG00000116455
Y_RNA	ENSG00000199890
ATP5PB	ENSG00000116459
C1orf162	ENSG00000143110
TMIGD3	ENSG00000121933
RNU6-792P	ENSG00000200360
ADORA3	ENSG00000282608
RAP1A	ENSG00000116473
LINC01160	ENSG00000231346
KRT18P57	ENSG00000215867
RNU6-151P	ENSG00000201028
INKA2	ENSG00000197852
INKA2-AS1	ENSG00000227811
AL049557.1	ENSG00000284830
DDX20	ENSG00000064703
KCND3	ENSG00000171385
KCND3-IT1	ENSG00000232558
KCND3-AS1	ENSG00000237556
LINC01750	ENSG00000231437
LINC02884	ENSG00000231246
TXNP3	ENSG00000234388
AL591521.1	ENSG00000238761
CTTNBP2NL	ENSG00000143079
MIR4256	ENSG00000283296
WNT2B	ENSG00000134245
AL354760.1	ENSG00000273483
ST7L	ENSG00000007341
CAPZA1	ENSG00000116489
MRPL53P1	ENSG00000235299
RNU7-70P	ENSG00000252750
MOV10	ENSG00000155363
AL603832.1	ENSG00000225075
RHOC	ENSG00000155366
AL603832.3	ENSG00000271810
PPM1J	ENSG00000155367
AL603832.2	ENSG00000261595
TAFA3	ENSG00000184599
NUTF2P4	ENSG00000234790
LINC01356	ENSG00000215866
LINC01357	ENSG00000224167
AL390729.1	ENSG00000228040
SLC16A1	ENSG00000155380
AKR7A2P1	ENSG00000229020
SLC16A1-AS1	ENSG00000226419
AL390242.1	ENSG00000287807
LRIG2-DT	ENSG00000238198
LRIG2	ENSG00000198799
RLIMP2	ENSG00000237278
AL357055.1	ENSG00000233839
AL357055.2	ENSG00000236887
MAGI3	ENSG00000081026
AL391058.1	ENSG00000232499
MTND5P20	ENSG00000238256
PHTF1	ENSG00000116793
AL133517.1	ENSG00000232450
RSBN1	ENSG00000081019
AL137856.1	ENSG00000231128
PTPN22	ENSG00000134242
AP4B1-AS1	ENSG00000226167
BCL2L15	ENSG00000188761
AP4B1	ENSG00000134262
DCLRE1B	ENSG00000118655
HIPK1-AS1	ENSG00000235527
HIPK1	ENSG00000163349
OLFML3	ENSG00000116774
AL591742.1	ENSG00000270780
AL591742.2	ENSG00000282048
SYT6	ENSG00000134207
AL121999.1	ENSG00000232895
MRPL57P1	ENSG00000273698
AL035410.2	ENSG00000271419
TRIM33	ENSG00000197323
AL035410.1	ENSG00000226984
EIF2S2P5	ENSG00000225650
Y_RNA	ENSG00000201114
PKMP1	ENSG00000236480
BCAS2	ENSG00000116752
DENND2C	ENSG00000175984
AMPD1	ENSG00000116748
RN7SL432P	ENSG00000242769
NRAS	ENSG00000213281
CSDE1	ENSG00000009307
RNY1P13	ENSG00000201900
SIKE1	ENSG00000052723
NR1H5P	ENSG00000227970
SYCP1	ENSG00000198765
TSHB	ENSG00000134200
TSPAN2	ENSG00000134198
LINC01765	ENSG00000233730
AL049825.1	ENSG00000285698
NGF-AS1	ENSG00000228035
NGF	ENSG00000134259
AL512638.3	ENSG00000287103
AL512638.1	ENSG00000226973
AL512638.2	ENSG00000274468
ELOCP20	ENSG00000229101
CNOT7P2	ENSG00000232185
AL592436.2	ENSG00000270631
RN7SL420P	ENSG00000239984
AL592436.1	ENSG00000207502
VANGL1	ENSG00000173218
CASQ2	ENSG00000118729
NHLH2	ENSG00000177551
HNRNPA1P43	ENSG00000214204
LINC01649	ENSG00000228127
AL357137.1	ENSG00000271143
SLC22A15	ENSG00000163393
AL365318.1	ENSG00000237993
MAB21L3	ENSG00000173212
LINC01779	ENSG00000235933
U3	ENSG00000221040
AL355538.1	ENSG00000287217
ATP1A1	ENSG00000163399
ATP1A1-AS1	ENSG00000203865
RNU6-817P	ENSG00000212385
LINC01762	ENSG00000233154
AL136376.1	ENSG00000230381
Y_RNA	ENSG00000200547
AL390066.1	ENSG00000224950
AL390066.2	ENSG00000286276
CD58	ENSG00000116815
NAP1L4P1	ENSG00000177173
MIR548AC	ENSG00000264419
IGSF3	ENSG00000143061
MIR320B1	ENSG00000211543
LINC02868	ENSG00000203864
GAPDHP64	ENSG00000231072
NEFHP1	ENSG00000223489
CD2	ENSG00000116824
FTH1P22	ENSG00000225079
AL157904.1	ENSG00000272715
PTGFRN	ENSG00000134247
RNA5SP55	ENSG00000252510
CD101	ENSG00000134256
AL445231.1	ENSG00000236137
TTF2	ENSG00000116830
MIR942	ENSG00000215930
TRIM45	ENSG00000134253
RPS15AP9	ENSG00000228453
VTCN1	ENSG00000134258
Metazoa_SRP	ENSG00000277141
LINC01525	ENSG00000235202
AL358072.1	ENSG00000271427
MAN1A2	ENSG00000198162
AL157902.2	ENSG00000279513
VPS25P1	ENSG00000226755
AL157902.1	ENSG00000236866
TENT5C	ENSG00000183508
VDAC2P3	ENSG00000213262
AL390877.1	ENSG00000212266
AL390877.2	ENSG00000270719
PNRC2P1	ENSG00000228217
GDAP2	ENSG00000196505
WDR3	ENSG00000065183
SPAG17	ENSG00000155761
AL391557.1	ENSG00000287980
RNA5SP56	ENSG00000222209
PSMC1P12	ENSG00000226126
AL139148.1	ENSG00000229911
TBX15	ENSG00000092607
AL139420.1	ENSG00000226172
AL139420.2	ENSG00000239216
WARS2	ENSG00000116874
WARS2-IT1	ENSG00000224238
RBMX2P3	ENSG00000223575
RPS3AP12	ENSG00000236804
WARS2-AS1	ENSG00000231365
RPL6P2	ENSG00000227056
AL359915.1	ENSG00000227712
LINC01780	ENSG00000232650
RNU1-75P	ENSG00000194297
HAO2	ENSG00000116882
HAO2-IT1	ENSG00000230921
HSD3B2	ENSG00000203859
GAPDHP74	ENSG00000232780
HSD3BP2	ENSG00000203858
GAPDHP23	ENSG00000235595
HSD3BP1	ENSG00000187481
GAPDHP58	ENSG00000229570
HSD3B1	ENSG00000203857
GAPDHP32	ENSG00000226443
HSD3BP3	ENSG00000249798
GAPDHP27	ENSG00000239873
HSD3BP4	ENSG00000203855
GAPDHP33	ENSG00000240244
LINC00622	ENSG00000260941
HSD3BP5	ENSG00000198857
ZNF697	ENSG00000143067
PHGDH	ENSG00000092621
HMGCS2	ENSG00000134240
REG4	ENSG00000134193
NBPF7	ENSG00000215864
PFN1P9	ENSG00000227205
NOTCH2P1	ENSG00000226446
ADAM30	ENSG00000134249
NOTCH2	ENSG00000134250
AC245008.1	ENSG00000273406
RNU6-465P	ENSG00000207149
SEC22B	ENSG00000265808
AC244669.2	ENSG00000274642
7SK	ENSG00000277313
AC244669.1	ENSG00000223804
U1	ENSG00000273727
NBPF8	ENSG00000270231
PFN1P2	ENSG00000270392
AC241952.1	ENSG00000275131
U2	ENSG00000273694
7SK	ENSG00000275933
NOTCH2NLR	ENSG00000286106
NBPF26	ENSG00000273136
AC253572.1	ENSG00000287979
RNVU1-19	ENSG00000275538
PPIAL4A	ENSG00000263353
AC241377.3	ENSG00000281741
LINC00623	ENSG00000226067
RNVU1-4	ENSG00000277610
AC241377.4	ENSG00000285215
AC241377.2	ENSG00000275585
U1	ENSG00000273516
AC241377.1	ENSG00000275296
FCGR1B	ENSG00000198019
AC244453.3	ENSG00000234998
AC244453.2	ENSG00000233029
H2BP1	ENSG00000223345
AC244453.1	ENSG00000227193
H3P4	ENSG00000213244
RPL22P6	ENSG00000268993
FAM72B	ENSG00000188610
SRGAP2C	ENSG00000171943
AC243994.1	ENSG00000275129
SRGAP2-AS1	ENSG00000230806
LINC02798	ENSG00000227082
AL592494.1	ENSG00000228826
MTIF2P1	ENSG00000233432
AL592494.2	ENSG00000272583
EMBP1	ENSG00000231752
LINC01691	ENSG00000224857
AC242852.1	ENSG00000276118
AC242852.2	ENSG00000277095
AC239859.5	ENSG00000277702
RNA5SP533	ENSG00000252830
AC239859.3	ENSG00000264145
AC239859.4	ENSG00000274927
NKAIN1P1	ENSG00000242943
AC239859.2	ENSG00000223495
LINC02799	ENSG00000235887
AC239859.1	ENSG00000203825
NBPF17P	ENSG00000179571
PFN1P12	ENSG00000226028
RNU1-114P	ENSG00000202167
RNVU1-17	ENSG00000207349
RNVU1-23	ENSG00000252826
RNVU1-18	ENSG00000206737
AC239800.2	ENSG00000232721
AC239800.1	ENSG00000223779
FAM91A3P	ENSG00000242352
AC239800.3	ENSG00000270962
LINC02591	ENSG00000263590
RNU1-143P	ENSG00000252105
AC239798.1	ENSG00000233430
AC239798.2	ENSG00000237503
FCGR1CP	ENSG00000265531
H2BP2	ENSG00000234571
H3-2	ENSG00000273213
AC246680.1	ENSG00000230186
RPL22P5	ENSG00000268074
FAM72C	ENSG00000263513
SRGAP2D	ENSG00000270872
IGKV1OR1-1	ENSG00000276674
AC244015.1	ENSG00000275075
AC244015.2	ENSG00000275767
LINC02802	ENSG00000232527
RNA5SP529	ENSG00000276442
DRD5P2	ENSG00000175658
AC245595.1	ENSG00000276756
PPIAL4E	ENSG00000271567
AC246785.4	ENSG00000271439
RNVU1-15	ENSG00000207205
AC246785.3	ENSG00000237343
AC246785.2	ENSG00000233586
NBPF15	ENSG00000266338
PFN1P6	ENSG00000227212
AC246785.1	ENSG00000229002
RNVU1-26	ENSG00000275291
RNVU1-2A	ENSG00000278099
RNVU1-28	ENSG00000277918
PPIAL4F	ENSG00000279782
LINC01632	ENSG00000277199
FP700111.1	ENSG00000224363
FP700107.1	ENSG00000278273
RNA5SP59	ENSG00000222854
FP700111.2	ENSG00000273825
FP700111.3	ENSG00000287607
SRGAP2B	ENSG00000196369
AC242498.1	ENSG00000271644
FAM72D	ENSG00000215784
AC241585.3	ENSG00000283752
LINC01145	ENSG00000272419
RNU1-153P	ENSG00000277678
AC241585.2	ENSG00000281571
AC241585.1	ENSG00000223612
PPIAL4D	ENSG00000256374
AC245014.2	ENSG00000271291
RNVU1-14	ENSG00000207501
AC245014.3	ENSG00000276216
AC245014.1	ENSG00000236140
NBPF20	ENSG00000162825
PFN1P3	ENSG00000234367
RNU1-154P	ENSG00000270384
AC239860.3	ENSG00000286620
RNVU1-31	ENSG00000270722
AC239860.4	ENSG00000287374
AC239860.2	ENSG00000278182
AC239860.1	ENSG00000275064
NBPF25P	ENSG00000272150
GPR89A	ENSG00000117262
PDZK1	ENSG00000174827
CD160	ENSG00000117281
RNF115	ENSG00000265491
POLR3C	ENSG00000186141
NUDT17	ENSG00000186364
PIAS3	ENSG00000131788
MIR6736	ENSG00000278549
ANKRD35	ENSG00000198483
ITGA10	ENSG00000143127
AC243547.1	ENSG00000244619
PEX11B	ENSG00000131779
RBM8A	ENSG00000265241
GNRHR2	ENSG00000211451
LIX1L-AS1	ENSG00000234222
AC243547.3	ENSG00000280778
LIX1L	ENSG00000271601
ANKRD34A	ENSG00000272031
AC243547.2	ENSG00000278431
POLR3GL	ENSG00000121851
TXNIP	ENSG00000265972
HJV	ENSG00000168509
AC239799.2	ENSG00000287190
RNVU1-6	ENSG00000201558
LINC01719	ENSG00000233396
NBPF10	ENSG00000271425
NOTCH2NLA	ENSG00000264343
AC239799.1	ENSG00000276509
RNU6-1071P	ENSG00000201789
NUDT4P2	ENSG00000271121
SEC22B4P	ENSG00000277406
PPIAL4H	ENSG00000270339
RNVU1-29	ENSG00000273768
AC245407.2	ENSG00000287978
RNVU1-25	ENSG00000274428
AC245407.1	ENSG00000277655
HYDIN2	ENSG00000276975
RNA5SP536	ENSG00000274408
AC241929.1	ENSG00000274450
NBPF12	ENSG00000268043
PFN1P8	ENSG00000244371
AC244394.3	ENSG00000234225
AC244394.2	ENSG00000227242
AC244394.1	ENSG00000225603
RNU1-151P	ENSG00000201142
SSBL4P	ENSG00000230832
RNVU1-8	ENSG00000286172
NBPF13P	ENSG00000283342
PRKAB2	ENSG00000131791
PDIA3P1	ENSG00000180867
AC242426.2	ENSG00000237188
FMO5	ENSG00000131781
CCT8P1	ENSG00000226015
RPL7AP15	ENSG00000236806
CHD1L	ENSG00000131778
LINC00624	ENSG00000278811
AC242426.1	ENSG00000213226
OR13Z1P	ENSG00000226653
Y_RNA	ENSG00000207209
OR13Z2P	ENSG00000272443
OR13Z3P	ENSG00000272480
BCL9	ENSG00000116128
AC242628.1	ENSG00000288626
ACP6	ENSG00000162836
RN7SL261P	ENSG00000277762
AC241644.1	ENSG00000227139
GJA5	ENSG00000265107
AC241644.3	ENSG00000274415
AC241644.2	ENSG00000234190
AC239801.1	ENSG00000223728
GJA8	ENSG00000121634
GPR89B	ENSG00000188092
PDZK1P1	ENSG00000215859
AC239803.1	ENSG00000273059
LINC02804	ENSG00000274372
RNU1-129P	ENSG00000206791
RNVU1-7	ENSG00000206585
PDE4DIPP1	ENSG00000229828
NBPF11	ENSG00000263956
PFN1P4	ENSG00000225080
ABHD17AP1	ENSG00000198658
LINC02805	ENSG00000232265
AC239809.3	ENSG00000227733
RNA5SP57	ENSG00000238765
AC239809.1	ENSG00000224335
AC239809.2	ENSG00000227700
RNVU1-22	ENSG00000199879
LINC01731	ENSG00000234283
AC245100.3	ENSG00000228626
LINC01138	ENSG00000274020
LINC02806	ENSG00000238107
AC245100.1	ENSG00000224481
AC245100.5	ENSG00000235988
Y_RNA	ENSG00000252744
MIR5087	ENSG00000283676
RNVU1-21	ENSG00000202408
AC245100.6	ENSG00000272824
RNVU1-1	ENSG00000207340
RNU1-155P	ENSG00000252135
MIR6077	ENSG00000278596
RNVU1-2	ENSG00000238825
AC245100.4	ENSG00000231551
RNVU1-3	ENSG00000201183
AC245100.2	ENSG00000225871
AC245100.8	ENSG00000285062
AC245100.7	ENSG00000280649
PPIAL4G	ENSG00000236334
RNVU1-27	ENSG00000274210
NBPF14	ENSG00000270629
NOTCH2NLB	ENSG00000286019
RNU6-1171P	ENSG00000252515
NUDT4B	ENSG00000177144
SEC22B3P	ENSG00000275140
AC245389.1	ENSG00000271546
PDE4DIP	ENSG00000178104
RN7SKP88	ENSG00000252656
RNU2-38P	ENSG00000222788
AC239802.1	ENSG00000254913
AC239802.2	ENSG00000255148
AC239804.1	ENSG00000254539
NBPF9	ENSG00000269713
AC239804.2	ENSG00000274019
RNVU1-24	ENSG00000201699
AC245297.3	ENSG00000274265
AC245297.1	ENSG00000215861
AC245297.2	ENSG00000272755
7SK	ENSG00000273591
SEC22B2P	ENSG00000274423
NOTCH2NLC	ENSG00000286219
AC242842.3	ENSG00000286185
NBPF19	ENSG00000271383
PPIAL4C	ENSG00000263464
LINC00869	ENSG00000277147
AC242842.2	ENSG00000284964
AC242842.1	ENSG00000275557
RNVU1-30	ENSG00000206828
FAM91A2P	ENSG00000284842
AC243772.3	ENSG00000234232
RNU1-68P	ENSG00000275229
AC243772.1	ENSG00000226500
FCGR1A	ENSG00000150337
H2BC18	ENSG00000203814
AC243772.2	ENSG00000233030
H3C13	ENSG00000183598
H4C14	ENSG00000270882
H3C14	ENSG00000203811
H2AC18	ENSG00000203812
H2BC19P	ENSG00000220323
H2BC20P	ENSG00000261716
H2AC19	ENSG00000272196
H3C15	ENSG00000203852
H4C15	ENSG00000270276
AC239868.1	ENSG00000264207
H2BC21	ENSG00000184678
H2AC20	ENSG00000184260
H2AC21	ENSG00000184270
BOLA1	ENSG00000178096
SV2A	ENSG00000159164
SF3B4	ENSG00000143368
MTMR11	ENSG00000014914
OTUD7B	ENSG00000264522
AC244033.2	ENSG00000285184
AC244033.1	ENSG00000223945
VPS45	ENSG00000136631
PLEKHO1	ENSG00000023902
AC242988.2	ENSG00000285554
RN7SL480P	ENSG00000266187
ANP32E	ENSG00000143401
RNU2-17P	ENSG00000222222
AC242988.1	ENSG00000276110
CA14	ENSG00000118298
APH1A	ENSG00000117362
C1orf54	ENSG00000118292
CIART	ENSG00000159208
MRPS21	ENSG00000266472
PRPF3	ENSG00000117360
RPRD2	ENSG00000163125
TARS2	ENSG00000143374
MIR6878	ENSG00000283933
ECM1	ENSG00000143369
FALEC	ENSG00000228126
ADAMTSL4-AS2	ENSG00000237781
ADAMTSL4	ENSG00000143382
MIR4257	ENSG00000264553
ADAMTSL4-AS1	ENSG00000203804
MCL1	ENSG00000143384
RN7SL473P	ENSG00000277452
RN7SL600P	ENSG00000274963
AL356356.1	ENSG00000253047
ENSA	ENSG00000143420
U4	ENSG00000276103
GOLPH3L	ENSG00000143457
HORMAD1	ENSG00000143452
RNU6-1042P	ENSG00000206931
CTSS	ENSG00000163131
AL356292.1	ENSG00000236713
CTSK	ENSG00000143387
UBE2D3P3	ENSG00000224690
ARNT	ENSG00000143437
RNU6-1309P	ENSG00000200175
RPS27AP6	ENSG00000224800
CTXND2	ENSG00000283324
CYCSP51	ENSG00000229357
SETDB1	ENSG00000143379
CERS2	ENSG00000143418
AL590133.2	ENSG00000259357
AL590133.1	ENSG00000231073
ANXA9	ENSG00000143412
MINDY1	ENSG00000143409
PRUNE1	ENSG00000143363
RNU6-884P	ENSG00000200759
BNIPL	ENSG00000163141
C1orf56	ENSG00000143443
CDC42SE1	ENSG00000197622
MLLT11	ENSG00000213190
GABPB2	ENSG00000143458
RPS29P29	ENSG00000233717
AL592424.1	ENSG00000261168
SEMA6C	ENSG00000143434
TNFAIP8L2	ENSG00000163154
SCNM1	ENSG00000163156
LYSMD1	ENSG00000163155
TMOD4	ENSG00000163157
VPS72	ENSG00000163159
PIP5K1A	ENSG00000143398
PSMD4	ENSG00000159352
ZNF687-AS1	ENSG00000232671
ZNF687	ENSG00000143373
PI4KB	ENSG00000143393
RN7SL444P	ENSG00000265753
AL391069.2	ENSG00000273481
RFX5	ENSG00000143390
AL391069.1	ENSG00000224645
RFX5-AS1	ENSG00000237976
SELENBP1	ENSG00000143416
PSMB4	ENSG00000159377
POGZ	ENSG00000143442
RNY4P25	ENSG00000238711
CGN	ENSG00000143375
AL365436.3	ENSG00000252840
TUFT1	ENSG00000143367
AL365436.2	ENSG00000232536
MIR554	ENSG00000207606
AL365436.1	ENSG00000223861
SNX27	ENSG00000143376
AL391335.1	ENSG00000250734
RNU6-1062P	ENSG00000206635
CELF3	ENSG00000159409
AL589765.1	ENSG00000227045
RIIAD1	ENSG00000178796
RNU6-662P	ENSG00000206980
AL589765.7	ENSG00000269621
AL589765.3	ENSG00000236940
MRPL9	ENSG00000143436
OAZ3	ENSG00000143450
AL589765.4	ENSG00000249602
AL589765.2	ENSG00000232937
AL589765.5	ENSG00000268288
TDRKH	ENSG00000182134
TDRKH-AS1	ENSG00000203288
AL589765.6	ENSG00000269489
LINGO4	ENSG00000213171
RORC	ENSG00000143365
C2CD4D	ENSG00000225556
Y_RNA	ENSG00000201134
C2CD4D-AS1	ENSG00000234614
THEM5	ENSG00000196407
THEM4	ENSG00000159445
AL450992.2	ENSG00000285651
AL450992.3	ENSG00000286581
KRT8P28	ENSG00000223810
S100A10	ENSG00000197747
AL450992.1	ENSG00000229021
NBPF18P	ENSG00000240667
S100A11	ENSG00000163191
SPTLC1P4	ENSG00000232678
AL591893.1	ENSG00000285818
TCHHL1	ENSG00000182898
TCHH	ENSG00000159450
AL589986.1	ENSG00000226716
PUDPP2	ENSG00000233792
RPTN	ENSG00000215853
FLG-AS1	ENSG00000237975
AL589986.2	ENSG00000236427
HRNR	ENSG00000197915
FLG	ENSG00000143631
FLG2	ENSG00000143520
HMGN3P1	ENSG00000183586
CRNN	ENSG00000143536
LCE5A	ENSG00000186207
CRCT1	ENSG00000169509
LCE3E	ENSG00000185966
LCE3D	ENSG00000163202
LCE3C	ENSG00000244057
LCE3B	ENSG00000187238
LCE3A	ENSG00000185962
LCEP4	ENSG00000226947
LCEP3	ENSG00000285753
LCE2D	ENSG00000187223
LCE2C	ENSG00000187180
LCE2B	ENSG00000159455
LCE2A	ENSG00000187173
LCE4A	ENSG00000187170
C1orf68	ENSG00000198854
LCEP2	ENSG00000229713
LCEP1	ENSG00000233819
KPRP	ENSG00000203786
LCE1F	ENSG00000240386
LCE1E	ENSG00000186226
LCE1D	ENSG00000172155
LCE1C	ENSG00000197084
LCE1B	ENSG00000196734
LCE1A	ENSG00000186844
LCE6A	ENSG00000235942
AL162596.1	ENSG00000285946
SMCP	ENSG00000163206
IVL	ENSG00000163207
LINC01527	ENSG00000224308
SPRR5	ENSG00000283227
SPRR4	ENSG00000184148
SPRR1A	ENSG00000169474
SPRR3	ENSG00000163209
AL356867.2	ENSG00000252920
AL356867.1	ENSG00000234262
SPRR1B	ENSG00000169469
SPRR2D	ENSG00000163216
SPRR2A	ENSG00000241794
SPRR2B	ENSG00000196805
SPRR2E	ENSG00000203785
SPRR2F	ENSG00000244094
SPRR2C	ENSG00000229035
SPRR2G	ENSG00000159516
AL161636.1	ENSG00000229699
LELP1	ENSG00000203784
PRR9	ENSG00000203783
AL161636.2	ENSG00000230779
LORICRIN	ENSG00000203782
PGLYRP3	ENSG00000159527
PGLYRP4	ENSG00000163218
RNU6-160P	ENSG00000207321
S100A9	ENSG00000163220
S100A12	ENSG00000163221
LAPTM4BP1	ENSG00000237008
S100A8	ENSG00000143546
S100A15A	ENSG00000224784
S100A7A	ENSG00000184330
S100A7P1	ENSG00000203781
S100A7L2	ENSG00000197364
S100A7	ENSG00000143556
RN7SL44P	ENSG00000263841
BX470102.1	ENSG00000238279
S100A6	ENSG00000197956
S100A5	ENSG00000196420
S100A4	ENSG00000196154
S100A3	ENSG00000188015
S100A2	ENSG00000196754
BX470102.2	ENSG00000285867
S100A16	ENSG00000188643
S100A14	ENSG00000189334
S100A13	ENSG00000189171
AL162258.1	ENSG00000271853
S100A1	ENSG00000160678
AL162258.2	ENSG00000272030
CHTOP	ENSG00000160679
SNAPIN	ENSG00000143553
ILF2	ENSG00000143621
NPR1	ENSG00000169418
MIR8083	ENSG00000274940
RN7SL372P	ENSG00000242565
GEMIN2P1	ENSG00000235015
Y_RNA	ENSG00000199565
INTS3	ENSG00000143624
AL513523.4	ENSG00000243613
AL513523.3	ENSG00000233222
SLC27A3	ENSG00000143554
Y_RNA	ENSG00000207039
GATAD2B	ENSG00000143614
AL513523.2	ENSG00000231827
AL513523.1	ENSG00000223599
AL831737.1	ENSG00000236327
AL358472.5	ENSG00000284738
DENND4B	ENSG00000198837
CRTC2	ENSG00000160741
SLC39A1	ENSG00000143570
AL358472.7	ENSG00000285779
MIR6737	ENSG00000276584
AL358472.4	ENSG00000282386
AL358472.3	ENSG00000273026
CREB3L4	ENSG00000143578
JTB	ENSG00000143543
AL358472.6	ENSG00000285641
AL358472.2	ENSG00000272654
RAB13	ENSG00000143545
RPS27	ENSG00000177954
