ensg_id	gene_symbol	pmtl	version
ENSG00000198722	UNC13B	NA	NA
ENSG00000279083	AL160274.1	NA	NA
ENSG00000179766	ATP8B5P	NA	NA
ENSG00000244213	ZFAND6P1	NA	NA
ENSG00000198853	RUSC2	NA	NA
ENSG00000235619	RPL36AP33	NA	NA
ENSG00000215187	FAM166B	NA	NA
ENSG00000227852	RPS29P17	NA	NA
ENSG00000107140	TESK1	NA	NA
ENSG00000263892	MIR4667	NA	NA
ENSG00000137101	CD72	NA	NA
ENSG00000231393	AL357874.2	NA	NA
ENSG00000227933	AL357874.1	NA	NA
ENSG00000137078	SIT1	NA	NA
ENSG00000269900	RMRP	NA	NA
ENSG00000277027	RMRP	NA	NA
ENSG00000159884	CCDC107	NA	NA
ENSG00000137135	ARHGEF39	NA	NA
ENSG00000243136	RN7SL22P	NA	NA
ENSG00000107159	CA9	NA	NA
ENSG00000198467	TPM2	NA	NA
ENSG00000137076	TLN1	NA	NA
ENSG00000284195	MIR6852	NA	NA
ENSG00000107175	CREB3	NA	NA
ENSG00000273945	MIR6853	NA	NA
ENSG00000070610	GBA2	NA	NA
ENSG00000107185	RGP1	NA	NA
ENSG00000215183	MSMP	NA	NA
ENSG00000228843	AL133410.2	NA	NA
ENSG00000227388	AL133410.1	NA	NA
ENSG00000159899	NPR2	NA	NA
ENSG00000137098	SPAG8	NA	NA
ENSG00000137133	HINT2	NA	NA
ENSG00000137103	TMEM8B	NA	NA
ENSG00000204930	FAM221B	NA	NA
ENSG00000236083	OR13E1P	NA	NA
ENSG00000168828	OR13J1	NA	NA
ENSG00000233659	NDUFA5P4	NA	NA
ENSG00000196196	HRCT1	NA	NA
ENSG00000235387	SPAAR	NA	NA
ENSG00000225639	PGAM1P2	NA	NA
ENSG00000278889	OR2S2	NA	NA
ENSG00000213866	YBX1P10	NA	NA
ENSG00000179443	OR13C6P	NA	NA
ENSG00000243641	OR13C7	NA	NA
ENSG00000228307	OR2S1P	NA	NA
ENSG00000236110	OR2AM1P	NA	NA
ENSG00000122707	RECK	NA	NA
ENSG00000276730	Hammerhead_HH9	NA	NA
ENSG00000122694	GLIPR2	NA	NA
ENSG00000185972	CCIN	NA	NA
ENSG00000122705	CLTA	NA	NA
ENSG00000159921	GNE	NA	NA
ENSG00000222760	RNU4-53P	NA	NA
ENSG00000215283	HMGB3P24	NA	NA
ENSG00000137075	RNF38	NA	NA
ENSG00000165304	MELK	NA	NA
ENSG00000266255	MIR4475	NA	NA
ENSG00000196092	PAX5	NA	NA
ENSG00000258885	AL450267.1	NA	NA
ENSG00000264922	MIR4540	NA	NA
ENSG00000265368	MIR4476	NA	NA
ENSG00000250850	AL161781.2	NA	NA
ENSG00000125385	AL161781.1	NA	NA
ENSG00000232920	LINC01400	NA	NA
ENSG00000260100	AL512604.3	NA	NA
ENSG00000281649	EBLN3P	NA	NA
ENSG00000233242	AL512604.2	NA	NA
ENSG00000147905	ZCCHC7	NA	NA
ENSG00000200502	Y_RNA	NA	NA
ENSG00000228292	AL512604.1	NA	NA
ENSG00000206784	Y_RNA	NA	NA
ENSG00000252723	RNU6-677P	NA	NA
ENSG00000224648	LINC01627	NA	NA
ENSG00000137106	GRHPR	NA	NA
ENSG00000236156	CHCHD4P3	NA	NA
ENSG00000168795	ZBTB5	NA	NA
ENSG00000187988	KCTD9P3	NA	NA
ENSG00000137054	POLR1E	Relevant Molecular Target	PMTL version 1.1
ENSG00000230188	AL158156.1	NA	NA
ENSG00000234160	AL513165.1	NA	NA
ENSG00000147912	FBXO10	NA	NA
ENSG00000256966	AL513165.2	NA	NA
ENSG00000175768	TOMM5	NA	NA
ENSG00000255872	AL138752.2	NA	NA
ENSG00000233111	RAB1C	NA	NA
ENSG00000070601	FRMPD1	NA	NA
ENSG00000201287	RN7SKP171	NA	NA
ENSG00000165275	TRMT10B	NA	NA
ENSG00000107371	EXOSC3	NA	NA
ENSG00000122741	DCAF10	NA	NA
ENSG00000232454	AL138752.1	NA	NA
ENSG00000226055	PAICSP1	NA	NA
ENSG00000122696	SLC25A51	NA	NA
ENSG00000213839	TMX2P1	NA	NA
ENSG00000107338	SHB	NA	NA
ENSG00000251745	RNU7-124P	NA	NA
ENSG00000200026	U8	NA	NA
ENSG00000223716	AL135785.1	NA	NA
ENSG00000137124	ALDH1B1	NA	NA
ENSG00000137142	IGFBPL1	NA	NA
ENSG00000283162	AL390726.6	NA	NA
ENSG00000225254	ARMC8P1	NA	NA
ENSG00000215165	TCEA1P3	NA	NA
ENSG00000229511	GAS2L1P1	NA	NA
ENSG00000237487	VN1R48P	NA	NA
ENSG00000243085	AL390726.1	NA	NA
ENSG00000176007	FAM220BP	NA	NA
ENSG00000273036	AL390726.5	NA	NA
ENSG00000283486	FAM95C	NA	NA
ENSG00000272934	AL390726.4	NA	NA
ENSG00000272904	AL390726.3	NA	NA
ENSG00000250989	AL390726.2	NA	NA
ENSG00000225345	SNX18P3	NA	NA
ENSG00000180071	ANKRD18A	NA	NA
ENSG00000204860	FAM201A	NA	NA
ENSG00000237557	YWHABP1	NA	NA
ENSG00000284612	AL591543.1	NA	NA
ENSG00000252725	RNU6-765P	NA	NA
ENSG00000283329	FAM240B	NA	NA
ENSG00000228467	AL845311.1	NA	NA
ENSG00000234680	VN2R3P	NA	NA
ENSG00000106714	CNTNAP3	NA	NA
ENSG00000226625	RBM17P1	NA	NA
ENSG00000271454	AL353729.2	NA	NA
ENSG00000243695	AL353729.1	NA	NA
ENSG00000278825	RN7SL640P	NA	NA
ENSG00000204849	SPATA31A1	NA	NA
ENSG00000277024	BX005214.3	NA	NA
ENSG00000215112	FAM74A1	NA	NA
ENSG00000224038	BX005214.1	NA	NA
ENSG00000231140	BX005214.2	NA	NA
ENSG00000198416	ZNF658B	NA	NA
ENSG00000229707	SKP1P3	NA	NA
ENSG00000269692	FKBP4P2	NA	NA
ENSG00000273994	SDR42E1P1	NA	NA
ENSG00000234720	ATP5A1P8	NA	NA
ENSG00000226108	RAB28P1	NA	NA
ENSG00000232239	RBPJP5	NA	NA
ENSG00000278175	GLIDR	NA	NA
ENSG00000229273	BX664615.1	NA	NA
ENSG00000204837	FGF7P3	NA	NA
ENSG00000283886	BX664615.2	NA	NA
ENSG00000276692	CR769767.2	NA	NA
ENSG00000277774	RN7SL763P	NA	NA
ENSG00000252724	SNORA70	NA	NA
ENSG00000232798	CR769767.1	NA	NA
ENSG00000284116	AL772307.1	NA	NA
ENSG00000184961	RPL7AP49	NA	NA
ENSG00000237846	AL773545.3	NA	NA
ENSG00000230804	C2orf27AP3	NA	NA
ENSG00000228136	AL773545.1	NA	NA
ENSG00000236966	AL773545.2	NA	NA
ENSG00000283211	AL773545.4	NA	NA
ENSG00000283246	MEP1AP1	NA	NA
ENSG00000183148	ANKRD20A2	NA	NA
ENSG00000212441	RNU6-1269P	NA	NA
ENSG00000240240	BX664727.3	NA	NA
ENSG00000234812	BX664727.2	NA	NA
ENSG00000231390	SNX18P8	NA	NA
ENSG00000223839	FAM95B1	NA	NA
ENSG00000224681	BX664727.1	NA	NA
ENSG00000227069	CNN2P2	NA	NA
ENSG00000232433	GXYLT1P3	NA	NA
ENSG00000274157	AL591471.1	NA	NA
ENSG00000278122	AQP7P5	NA	NA
ENSG00000274067	FP885919.1	NA	NA
ENSG00000184906	AMYH02020865.1	NA	NA
ENSG00000276500	BMS1P14	NA	NA
ENSG00000276266	FP325318.1	NA	NA
ENSG00000225380	IGKV1OR9-2	NA	NA
ENSG00000276963	AL353626.3	NA	NA
ENSG00000278331	RNU6-156P	NA	NA
ENSG00000275390	AL353626.1	NA	NA
ENSG00000276868	AL353626.2	NA	NA
ENSG00000275377	MIR1299	NA	NA
ENSG00000276291	FRG1HP	NA	NA
ENSG00000277778	PGM5P2	NA	NA
ENSG00000280077	AL353763.2	NA	NA
ENSG00000279456	AL353763.1	NA	NA
ENSG00000225655	BX255923.1	NA	NA
ENSG00000276462	BX255923.2	NA	NA
ENSG00000273514	FOXD4L6	NA	NA
ENSG00000215126	CBWD6	NA	NA
ENSG00000276029	MIR4477A	NA	NA
ENSG00000277049	5S_rRNA	NA	NA
ENSG00000279561	AL845472.1	NA	NA
ENSG00000275450	PTGER4P2-CDK2AP2P2	NA	NA
ENSG00000278647	CDK2AP2P1	NA	NA
ENSG00000274680	MYO5BP1	NA	NA
ENSG00000276502	AL354718.2	NA	NA
ENSG00000276832	AL354718.3	NA	NA
ENSG00000275160	AL354718.1	NA	NA
ENSG00000277340	AL591926.4	NA	NA
ENSG00000276094	SNORA70	NA	NA
ENSG00000276562	RN7SL565P	NA	NA
ENSG00000275493	FAM27D1	NA	NA
ENSG00000278077	AL591926.8	NA	NA
ENSG00000278054	AL591926.7	NA	NA
ENSG00000276135	FAM27E2	NA	NA
ENSG00000276412	AL591926.3	NA	NA
ENSG00000277979	AL591926.5	NA	NA
ENSG00000275239	AL591926.2	NA	NA
ENSG00000278028	Y_RNA	NA	NA
ENSG00000274688	AL591926.1	NA	NA
ENSG00000278001	AL591926.6	NA	NA
ENSG00000275297	AL162731.1	NA	NA
ENSG00000154529	CNTNAP3B	NA	NA
ENSG00000237207	RBM17P3	NA	NA
ENSG00000270909	CR788268.1	NA	NA
ENSG00000273717	RN7SL343P	NA	NA
ENSG00000185775	SPATA31A6	NA	NA
ENSG00000239986	AL445584.1	NA	NA
ENSG00000277260	FAM74A7	NA	NA
ENSG00000276277	AL445584.3	NA	NA
ENSG00000275649	AL445584.2	NA	NA
ENSG00000268234	FKBP4P6	NA	NA
ENSG00000277213	SDR42E1P2	NA	NA
ENSG00000234861	ATP5A1P1	NA	NA
ENSG00000227353	RAB28P3	NA	NA
ENSG00000227924	RBPJP6	NA	NA
ENSG00000237357	BX088651.4	NA	NA
ENSG00000212952	BX088651.1	NA	NA
ENSG00000229311	BX088651.2	NA	NA
ENSG00000204816	FGF7P5	NA	NA
ENSG00000230245	BX088651.3	NA	NA
ENSG00000216829	FGF7P4	NA	NA
ENSG00000233424	BX664718.1	NA	NA
ENSG00000204818	ADGRF5P2	NA	NA
ENSG00000224537	MEP1AP4	NA	NA
ENSG00000236816	ANKRD20A7P	NA	NA
ENSG00000238529	RNU6-599P	NA	NA
ENSG00000170165	CR848007.1	NA	NA
ENSG00000273900	CR848007.3	NA	NA
ENSG00000275144	SNX18P5	NA	NA
ENSG00000230635	CYP4F60P	NA	NA
ENSG00000229079	CR848007.2	NA	NA
ENSG00000213816	CNN2P4	NA	NA
ENSG00000276591	GXYLT1P5	NA	NA
ENSG00000277697	AL591441.2	NA	NA
ENSG00000276128	AL591441.1	NA	NA
ENSG00000277737	FP325317.1	NA	NA
ENSG00000277598	BX088702.1	NA	NA
ENSG00000276581	SPATA31A5	NA	NA
ENSG00000275628	AL590491.1	NA	NA
ENSG00000274516	FAM74A6	NA	NA
ENSG00000276422	AL590491.2	NA	NA
ENSG00000278485	AL590491.3	NA	NA
ENSG00000283541	BX005040.4	NA	NA
ENSG00000276040	SPATA31A7	NA	NA
ENSG00000277412	BX005040.3	NA	NA
ENSG00000276149	BX005040.2	NA	NA
ENSG00000274583	FAM74A4	NA	NA
ENSG00000275676	BX005040.1	NA	NA
ENSG00000283378	BX088645.1	NA	NA
ENSG00000276522	RN7SL462P	NA	NA
ENSG00000277109	AL935212.4	NA	NA
ENSG00000231248	AL935212.2	NA	NA
ENSG00000238933	Y_RNA	NA	NA
ENSG00000204814	AL935212.1	NA	NA
ENSG00000231454	AL935212.3	NA	NA
ENSG00000273940	RN7SL722P	NA	NA
ENSG00000154537	FAM27C	NA	NA
ENSG00000277624	AL391987.6	NA	NA
ENSG00000170152	AL391987.1	NA	NA
ENSG00000204805	FAM27E4	NA	NA
ENSG00000235659	AL391987.4	NA	NA
ENSG00000223379	AL391987.2	NA	NA
ENSG00000238749	Y_RNA	NA	NA
ENSG00000229697	AL391987.3	NA	NA
ENSG00000276795	AL391987.5	NA	NA
ENSG00000276845	CR769775.3	NA	NA
ENSG00000231527	CR769775.1	NA	NA
ENSG00000284471	CR769775.4	NA	NA
ENSG00000231838	CR769775.2	NA	NA
ENSG00000231995	AL590399.4	NA	NA
ENSG00000231212	AL590399.3	NA	NA
ENSG00000236450	AL590399.6	NA	NA
ENSG00000252133	SNORA70	NA	NA
ENSG00000275230	RN7SL544P	NA	NA
ENSG00000204802	AL590399.1	NA	NA
ENSG00000227449	FGF7P6	NA	NA
ENSG00000233651	AL590399.5	NA	NA
ENSG00000226429	AL590399.2	NA	NA
ENSG00000224603	BX664725.1	NA	NA
ENSG00000204801	FGF7P7	NA	NA
ENSG00000232827	LINC01189	NA	NA
ENSG00000226007	BX005266.2	NA	NA
ENSG00000212951	BX005266.1	NA	NA
ENSG00000278213	CNTNAP3P5	NA	NA
ENSG00000234217	RBPJP7	NA	NA
ENSG00000236825	RAB28P2	NA	NA
ENSG00000234451	BX005266.3	NA	NA
ENSG00000241571	ATP5A1P7	NA	NA
ENSG00000234276	SDR42E1P3	NA	NA
ENSG00000235256	FKBP4P7	NA	NA
ENSG00000238113	LINC01410	NA	NA
ENSG00000202474	RNA5SP283	NA	NA
ENSG00000229422	AL512625.2	NA	NA
ENSG00000184523	PTGER4P2	NA	NA
ENSG00000237451	CDK2AP2P2	NA	NA
ENSG00000234665	AL512625.3	NA	NA
ENSG00000238245	MYO5BP2	NA	NA
ENSG00000227582	ADGRF5P1	NA	NA
ENSG00000219693	FGF7P8	NA	NA
ENSG00000170161	AL512625.1	NA	NA
ENSG00000273509	CNTNAP3P1	NA	NA
ENSG00000244081	AL591379.2	NA	NA
ENSG00000198312	BMS1P9	NA	NA
ENSG00000182021	AL591379.1	NA	NA
ENSG00000176115	AQP7P4	NA	NA
ENSG00000186466	AQP7P1	NA	NA
ENSG00000228522	AL845321.1	NA	NA
ENSG00000237238	BMS1P10	NA	NA
ENSG00000233555	AL591438.1	NA	NA
ENSG00000234042	AL591438.2	NA	NA
ENSG00000268951	AL772155.3	NA	NA
ENSG00000224267	AL772155.1	NA	NA
ENSG00000225360	AL772155.2	NA	NA
ENSG00000228656	MYO5BP3	NA	NA
ENSG00000226020	CDK2AP2P3	NA	NA
ENSG00000239684	PTGER4P3	NA	NA
ENSG00000225411	CR786580.1	NA	NA
ENSG00000207277	RNA5SP284	NA	NA
ENSG00000232815	DUX4L50	NA	NA
ENSG00000266017	MIR4477B	NA	NA
ENSG00000215548	FRG1JP	NA	NA
ENSG00000204790	AL163540.1	NA	NA
ENSG00000275068	U6	NA	NA
ENSG00000172014	ANKRD20A4	NA	NA
ENSG00000238551	RNU6-1193P	NA	NA
ENSG00000224185	SNX18P9	NA	NA
ENSG00000229156	CR769776.2	NA	NA
ENSG00000224106	CYP4F25P	NA	NA
ENSG00000224762	CR769776.1	NA	NA
ENSG00000235832	CNN2P3	NA	NA
ENSG00000235310	GXYLT1P6	NA	NA
ENSG00000277869	AL773524.1	NA	NA
ENSG00000181997	AQP7P2	NA	NA
ENSG00000176134	AL445665.1	NA	NA
ENSG00000225883	BMS1P11	NA	NA
ENSG00000235932	AL359955.2	NA	NA
ENSG00000156755	IGKV1OR-2	NA	NA
ENSG00000271225	BNIP3P4	NA	NA
ENSG00000197550	AL359955.1	NA	NA
ENSG00000223602	AC125634.1	NA	NA
ENSG00000206804	RNU6-1293P	NA	NA
ENSG00000224599	BMS1P12	NA	NA
ENSG00000236252	AL512605.1	NA	NA
ENSG00000267085	AL512605.2	NA	NA
ENSG00000204780	IGKV1OR9-1	NA	NA
ENSG00000204779	FOXD4L5	NA	NA
ENSG00000204778	CBWD4P	NA	NA
ENSG00000276723	Y_RNA	NA	NA
ENSG00000280286	FRG1KP	NA	NA
ENSG00000147996	CBWD5	NA	NA
ENSG00000184659	FOXD4L4	NA	NA
ENSG00000204776	IGKV1OR-3	NA	NA
ENSG00000237904	BX284632.2	NA	NA
ENSG00000235893	BX284632.1	NA	NA
ENSG00000231701	BMS1P13	NA	NA
ENSG00000279955	AC129778.1	NA	NA
ENSG00000279688	AQP7P3	NA	NA
ENSG00000274893	AL136317.2	NA	NA
ENSG00000273668	AL136317.1	NA	NA
ENSG00000275026	GXYLT1P4	NA	NA
ENSG00000278068	AL136317.3	NA	NA
ENSG00000278720	AL669942.2	NA	NA
ENSG00000274628	AL669942.1	NA	NA
ENSG00000229146	SNX18P4	NA	NA
ENSG00000276257	AL513478.1	NA	NA
ENSG00000276203	ANKRD20A3	NA	NA
ENSG00000275030	RNU6-538P	NA	NA
ENSG00000278849	AL513478.2	NA	NA
ENSG00000284611	AL513478.3	NA	NA
ENSG00000284658	AL513478.4	NA	NA
ENSG00000233765	AL591479.1	NA	NA
ENSG00000274181	RBPJP2	NA	NA
ENSG00000276894	RAB28P4	NA	NA
ENSG00000277297	ATP5A1P10	NA	NA
ENSG00000273849	SDR42E1P4	NA	NA
ENSG00000276457	FKBP4P8	NA	NA
ENSG00000274349	ZNF658	NA	NA
ENSG00000277490	BX664608.1	NA	NA
ENSG00000277350	AL353770.4	NA	NA
ENSG00000276039	AL353770.2	NA	NA
ENSG00000274355	FAM74A3	NA	NA
ENSG00000276348	AL353770.3	NA	NA
ENSG00000274820	AL353770.1	NA	NA
ENSG00000275969	SPATA31A3	NA	NA
ENSG00000276386	CNTNAP3P2	NA	NA
ENSG00000274852	RN7SL422P	NA	NA
ENSG00000277575	AL162233.1	NA	NA
ENSG00000273999	RBM17P2	NA	NA
ENSG00000276204	BX005195.1	NA	NA
ENSG00000276898	BX664730.1	NA	NA
ENSG00000275904	Y_RNA	NA	NA
ENSG00000277208	AL627230.5	NA	NA
ENSG00000275614	AL627230.3	NA	NA
ENSG00000274026	FAM27E3	NA	NA
ENSG00000278735	AL627230.8	NA	NA
ENSG00000274100	AL627230.1	NA	NA
ENSG00000278134	AL627230.7	NA	NA
ENSG00000276032	AL627230.4	NA	NA
ENSG00000278763	FAM27B	NA	NA
ENSG00000274911	AL627230.2	NA	NA
ENSG00000274098	RN7SL787P	NA	NA
ENSG00000278010	SNORA70	NA	NA
ENSG00000277618	AL627230.6	NA	NA
ENSG00000260691	ANKRD20A1	NA	NA
ENSG00000278551	RNU6-368P	NA	NA
ENSG00000284737	BX649567.1	NA	NA
ENSG00000226904	AL353608.2	NA	NA
ENSG00000196873	CBWD3	NA	NA
ENSG00000279706	AL353608.4	NA	NA
ENSG00000187559	FOXD4L3	NA	NA
ENSG00000234394	AL353608.3	NA	NA
ENSG00000225337	AL353608.1	NA	NA
ENSG00000154330	PGM5	NA	NA
ENSG00000224958	PGM5-AS1	NA	NA
ENSG00000233178	AL161457.2	NA	NA
ENSG00000229019	AL161457.1	NA	NA
ENSG00000181778	TMEM252	NA	NA
ENSG00000226337	AL353616.2	NA	NA
ENSG00000234506	LINC01506	NA	NA
ENSG00000224025	AL353616.1	NA	NA
ENSG00000107242	PIP5K1B	NA	NA
ENSG00000187866	FAM122A	NA	NA
ENSG00000236998	AL354794.2	NA	NA
ENSG00000236733	AL354794.1	NA	NA
ENSG00000207000	RNU6-820P	NA	NA
ENSG00000165059	PRKACG	Relevant Molecular Target	PMTL version 1.1
ENSG00000165060	FXN	NA	NA
ENSG00000270236	AL162730.1	NA	NA
ENSG00000119139	TJP2	NA	NA
ENSG00000278910	BANCR	NA	NA
ENSG00000135063	FAM189A2	NA	NA
ENSG00000107282	APBA1	NA	NA
ENSG00000243888	AL355140.1	NA	NA
ENSG00000229312	AL353693.1	NA	NA
ENSG00000261447	AL162412.1	NA	NA
ENSG00000188647	PTAR1	NA	NA
ENSG00000225626	C9orf135-AS1	NA	NA
ENSG00000204711	C9orf135	NA	NA
ENSG00000241174	RN7SL570P	NA	NA
ENSG00000204706	MAMDC2-AS1	NA	NA
ENSG00000165072	MAMDC2	NA	NA
ENSG00000222465	RNU2-5P	NA	NA
ENSG00000268364	SMC5-AS1	NA	NA
ENSG00000236801	RPL24P8	NA	NA
ENSG00000198887	SMC5	NA	NA
ENSG00000274421	AL162390.1	NA	NA
ENSG00000239180	Y_RNA	NA	NA
ENSG00000119138	KLF9	NA	NA
ENSG00000083067	TRPM3	NA	NA
ENSG00000272232	RN7SL726P	NA	NA
ENSG00000232086	AL159990.2	NA	NA
ENSG00000223966	AL159990.1	NA	NA
ENSG00000207935	MIR204	NA	NA
ENSG00000224437	PIGUP1	NA	NA
ENSG00000229814	RPL35AP21	NA	NA
ENSG00000135048	TMEM2	NA	NA
ENSG00000271166	AL671309.1	NA	NA
ENSG00000107362	ABHD17B	NA	NA
ENSG00000200922	Y_RNA	NA	NA
ENSG00000155621	C9orf85	NA	NA
ENSG00000236060	HSPB1P1	NA	NA
ENSG00000204669	C9orf57	NA	NA
ENSG00000224820	BTF3P4	NA	NA
ENSG00000119125	GDA	NA	NA
ENSG00000235523	AL135924.2	NA	NA
ENSG00000233933	AL135924.1	NA	NA
ENSG00000252428	RNA5SP285	NA	NA
ENSG00000225434	LINC01504	NA	NA
ENSG00000107372	ZFAND5	NA	NA
ENSG00000230003	AL445646.1	NA	NA
ENSG00000225947	AL596448.1	NA	NA
ENSG00000165091	TMC1	NA	NA
ENSG00000236862	RPS20P24	NA	NA
ENSG00000229753	RPS27AP15	NA	NA
ENSG00000236849	LINC01474	NA	NA
ENSG00000165092	ALDH1A1	NA	NA
ENSG00000228024	CYP1D1P	NA	NA
ENSG00000135046	ANXA1	NA	NA
ENSG00000221844	DPP3P2	NA	NA
ENSG00000232590	AL451127.1	NA	NA
ENSG00000236701	AL512594.1	NA	NA
ENSG00000212454	RNA5SP286	NA	NA
ENSG00000223368	AL513124.1	NA	NA
ENSG00000227809	AL355674.1	NA	NA
ENSG00000224825	RORB-AS1	NA	NA
ENSG00000198963	RORB	NA	NA
ENSG00000119121	TRPM6	NA	NA
ENSG00000202217	RN7SKP47	NA	NA
ENSG00000270954	RPSAP75	NA	NA
ENSG00000252758	RNU6-445P	NA	NA
ENSG00000224297	AL158825.1	NA	NA
ENSG00000135045	C9orf40	NA	NA
ENSG00000203321	C9orf41-AS1	NA	NA
ENSG00000156017	CARNMT1	NA	NA
ENSG00000229587	AL158825.2	NA	NA
ENSG00000278040	uc_338	NA	NA
ENSG00000106733	NMRK1	NA	NA
ENSG00000134996	OSTF1	NA	NA
ENSG00000200041	Y_RNA	NA	NA
ENSG00000212316	RNU6-1228P	NA	NA
ENSG00000235707	AL158073.1	NA	NA
ENSG00000236376	AL353780.1	NA	NA
ENSG00000234644	OTX2P1	NA	NA
ENSG00000099139	PCSK5	NA	NA
ENSG00000231137	RBM22P5	NA	NA
ENSG00000135002	RFK	NA	NA
ENSG00000234618	RPSAP9	NA	NA
ENSG00000187210	GCNT1	NA	NA
ENSG00000233814	AL590664.1	NA	NA
ENSG00000219149	AL161626.1	NA	NA
ENSG00000106772	PRUNE2	NA	NA
ENSG00000225937	PCA3	NA	NA
ENSG00000274326	AL359314.1	NA	NA
ENSG00000277320	PCA3_2	NA	NA
ENSG00000230335	DNAJB5P1	NA	NA
ENSG00000236604	LYPLA2P3	NA	NA
ENSG00000229857	AL353637.1	NA	NA
ENSG00000204612	FOXB2	NA	NA
ENSG00000232851	ATP5J2P3	NA	NA
ENSG00000233526	RFC5P1	NA	NA
ENSG00000232998	VPS13A-AS1	NA	NA
ENSG00000197969	VPS13A	NA	NA
ENSG00000156049	GNA14	NA	NA
ENSG00000231373	GNA14-AS1	NA	NA
ENSG00000228248	NUTF2P3	NA	NA
ENSG00000201711	RNU6-1303P	NA	NA
ENSG00000156052	GNAQ	NA	NA
ENSG00000233457	AL353705.2	NA	NA
ENSG00000222452	RN7SKP59	NA	NA
ENSG00000233947	AL353705.3	NA	NA
ENSG00000228781	AL353705.1	NA	NA
ENSG00000234819	AL353705.4	NA	NA
ENSG00000148019	CEP78	NA	NA
ENSG00000135069	PSAT1	NA	NA
ENSG00000270627	AL592221.1	NA	NA
ENSG00000237257	MTND2P8	NA	NA
ENSG00000226234	KRT18P24	NA	NA
ENSG00000260995	AL512634.1	NA	NA
ENSG00000186940	CHCHD2P9	NA	NA
ENSG00000233086	AL358975.1	NA	NA
ENSG00000106829	TLE4	NA	NA
ENSG00000240979	AL353813.1	NA	NA
ENSG00000270691	AL161912.3	NA	NA
ENSG00000238002	NPAP1P6	NA	NA
ENSG00000232494	AL161912.1	NA	NA
ENSG00000260564	AL161912.2	NA	NA
ENSG00000279715	AL161912.4	NA	NA
ENSG00000280366	AL161782.1	NA	NA
ENSG00000230945	LINC01507	NA	NA
ENSG00000236521	NPAP1P4	NA	NA
ENSG00000232981	MTCO1P51	NA	NA
ENSG00000225901	MTND2P9	NA	NA
ENSG00000234637	RPS19P6	NA	NA
ENSG00000226798	AL138749.1	NA	NA
ENSG00000228375	RPS20P25	NA	NA
ENSG00000237072	AL161727.1	NA	NA
ENSG00000196781	TLE1	NA	NA
ENSG00000233926	AL591368.1	NA	NA
ENSG00000207206	RNU6-1035P	NA	NA
ENSG00000252167	RNA5SP287	NA	NA
ENSG00000200969	SNORD95	NA	NA
ENSG00000240632	SPATA31D5P	NA	NA
ENSG00000230846	AL158154.1	NA	NA
ENSG00000189357	SPATA31D4	NA	NA
ENSG00000267559	AL158154.2	NA	NA
ENSG00000186788	SPATA31D3	NA	NA
ENSG00000237770	SPATA31D2P	NA	NA
ENSG00000228430	AL162726.3	NA	NA
ENSG00000214929	SPATA31D1	NA	NA
ENSG00000231649	SPATA31B1P	NA	NA
ENSG00000230360	DDX10P2	NA	NA
ENSG00000235377	AL158047.1	NA	NA
ENSG00000225085	AL162726.1	NA	NA
ENSG00000228046	MTCO3P40	NA	NA
ENSG00000228123	AL162726.2	NA	NA
ENSG00000232749	AL162726.4	NA	NA
ENSG00000278988	AL356490.1	NA	NA
ENSG00000233309	RPS6P12	NA	NA
ENSG00000165105	RASEF	NA	NA
ENSG00000251776	RN7SKP242	NA	NA
ENSG00000273806	AL137847.3	NA	NA
ENSG00000229109	AL137847.1	NA	NA
ENSG00000172159	FRMD3	NA	NA
ENSG00000251752	RNU4-29P	NA	NA
ENSG00000237529	AL137847.2	NA	NA
ENSG00000199483	RNU4-15P	NA	NA
ENSG00000148057	IDNK	NA	NA
ENSG00000135018	UBQLN1	NA	NA
ENSG00000254473	AL354920.1	NA	NA
ENSG00000165113	GKAP1	NA	NA
ENSG00000226877	AL354733.1	NA	NA
ENSG00000231616	AL354733.2	NA	NA
ENSG00000165115	KIF27	NA	NA
ENSG00000165118	C9orf64	NA	NA
ENSG00000165119	HNRNPK	NA	NA
ENSG00000284179	MIR7-1	NA	NA
ENSG00000235298	AL354733.3	NA	NA
ENSG00000178966	RMI1	NA	NA
ENSG00000202523	Y_RNA	NA	NA
ENSG00000227463	AL390838.1	NA	NA
ENSG00000270166	AL390838.2	NA	NA
ENSG00000197506	SLC28A3	NA	NA
ENSG00000233262	AL356134.1	NA	NA
ENSG00000228095	AL354692.1	NA	NA
ENSG00000148053	NTRK2	Relevant Molecular Target	PMTL version 1.1
ENSG00000226590	UBE2V1P10	NA	NA
ENSG00000227412	STK33P1	NA	NA
ENSG00000135049	AGTPBP1	NA	NA
ENSG00000234424	AL353743.4	NA	NA
ENSG00000229454	AL157882.1	NA	NA
ENSG00000230303	AL353743.2	NA	NA
ENSG00000165121	AL353743.1	NA	NA
ENSG00000213711	PHBP7	NA	NA
ENSG00000231741	AL353743.3	NA	NA
ENSG00000135040	NAA35	NA	NA
ENSG00000135052	GOLM1	NA	NA
ENSG00000233713	AL161447.1	NA	NA
ENSG00000187753	C9orf153	NA	NA
ENSG00000270688	AL137849.1	NA	NA
ENSG00000223012	RN7SKP264	NA	NA
ENSG00000135070	ISCA1	NA	NA
ENSG00000083223	ZCCHC6	NA	NA
ENSG00000214908	AL353678.1	NA	NA
ENSG00000235819	AL158828.1	NA	NA
