gene_symbol	ensembl
FGF10	ENSG00000070193
RP11-473L15.2	ENSG00000248464
RP11-473L15.3	ENSG00000249203
RP11-503D12.1	ENSG00000250418
RN7SL383P	ENSG00000263556
RP11-53O19.1	ENSG00000251141
RP11-53O19.2	ENSG00000248779
MRPS30	ENSG00000112996
RP11-53O19.3	ENSG00000272335
RP11-357F12.1	ENSG00000248148
HCN1	ENSG00000164588
RP11-484L7.1	ENSG00000250422
RP11-484L7.2	ENSG00000250017
CTD-2013M15.1	ENSG00000250122
EMB	ENSG00000170571
RP11-269M20.2	ENSG00000271455
RP11-269M20.1	ENSG00000213956
RP11-269M20.3	ENSG00000271752
PARP8	ENSG00000151883
RP11-317O24.1	ENSG00000249405
RP11-317O24.3	ENSG00000270830
RP11-317O24.2	ENSG00000251601
CTD-2089N3.1	ENSG00000250360
CTD-2089N3.2	ENSG00000251573
CTD-2089N3.3	ENSG00000248918
RNU6-480P	ENSG00000207060
CTD-2054H24.1	ENSG00000278734
RNU6-1296P	ENSG00000206606
CTD-2312P21.1	ENSG00000240627
CTD-2314G24.2	ENSG00000259663
ISL1	ENSG00000016082
CTD-2335O3.1	ENSG00000249338
CTD-2335O3.2	ENSG00000248891
CTD-2335O3.3	ENSG00000251125
RNA5SP182	ENSG00000251873
RP11-182I21.1	ENSG00000249270
RP11-182I21.2	ENSG00000279470
CTD-2203A3.1	ENSG00000248789
RP11-668G8.1	ENSG00000244621
CTD-2141G3.1	ENSG00000250827
CTD-2288O8.1	ENSG00000248898
ITGA1	ENSG00000213949
PELO	ENSG00000152684
CTD-2207L17.2	ENSG00000251237
CTD-2207L17.1	ENSG00000241809
CTD-2175A23.1	ENSG00000249899
ITGA2	ENSG00000164171
CTD-2366F13.2	ENSG00000272123
MOCS2	ENSG00000164172
CTD-2366F13.1	ENSG00000247796
RP11-94D20.1	ENSG00000213940
RP11-289K10.1	ENSG00000240052
FST	ENSG00000134363
NDUFS4	ENSG00000164258
CTD-2081C10.1	ENSG00000250447
CTD-2081C10.2	ENSG00000217791
CTD-2081C10.7	ENSG00000272416
ARL15	ENSG00000185305
RNU6-272P	ENSG00000222960
MIR581	ENSG00000207627
RN7SL801P	ENSG00000241230
MIR4459	ENSG00000265421
CTD-2081C10.5	ENSG00000279638
RP11-461C13.1	ENSG00000249069
RP11-461C13.2	ENSG00000251597
HSPB3	ENSG00000169271
SNX18	ENSG00000178996
CTD-2591A1.1	ENSG00000280159
AC112198.1	ENSG00000232517
RP11-45H22.1	ENSG00000226810
RP11-45H22.2	ENSG00000249843
RP11-45H22.3	ENSG00000249016
ESM1	ENSG00000164283
CTD-2313F11.1	ENSG00000240535
GZMK	ENSG00000113088
RF00019	ENSG00000207229
CTD-2313F11.2	ENSG00000251376
CTD-2313F11.3	ENSG00000248029
CTD-2313F11.4	ENSG00000249454
GZMA	ENSG00000145649
CDC20B	ENSG00000164287
GPX8	ENSG00000164294
MIR449A	ENSG00000198983
MIR449B	ENSG00000207728
MIR449C	ENSG00000251856
MCIDAS	ENSG00000234602
CCNO	ENSG00000152669
RP11-506H20.1	ENSG00000251307
DHX29	ENSG00000067248
SKIV2L2	ENSG00000039123
RP11-506H20.2	ENSG00000271410
PLPP1	ENSG00000067113
CTD-2315M5.2	ENSG00000279883
MIR5687	ENSG00000265135
CTD-2331H7.1	ENSG00000250853
CTD-2331H7.2	ENSG00000249410
SLC38A9	ENSG00000177058
DDX4	ENSG00000152670
RP11-175M2.1	ENSG00000251368
RNA5SP183	ENSG00000199322
RP11-175M2.2	ENSG00000248854
IL31RA	ENSG00000164509
IL6ST	ENSG00000134352
CTD-2031P19.5	ENSG00000262211
CTD-2031P19.4	ENSG00000264281
CTD-2227I18.1	ENSG00000249236
CTD-2031P19.3	ENSG00000227908
RF01210	ENSG00000238326
ANKRD55	ENSG00000164512
RNU6-299P	ENSG00000253032
RPL17P22	ENSG00000243592
RNA5SP184	ENSG00000223003
RP11-365H8.2	ENSG00000251435
RNA5SP185	ENSG00000212265
RP11-365H8.3	ENSG00000248781
RNU6ATAC2P	ENSG00000210678
RP11-155L15.1	ENSG00000249697
RP11-155L15.2	ENSG00000250787
CTC-236F12.4	ENSG00000248727
RPL26P19	ENSG00000226221
C5orf67	ENSG00000225940
AC022431.3	ENSG00000234553
AC008940.1	ENSG00000228650
MAP3K1	ENSG00000095015
AC008937.2	ENSG00000237705
AC008937.3	ENSG00000225230
SETD9	ENSG00000155542
MIER3	ENSG00000155545
CTD-2310F14.1	ENSG00000271828
AC016644.1	ENSG00000235635
AC114973.1	ENSG00000233943
RP11-101B14.4	ENSG00000248652
RP11-101B14.1	ENSG00000250480
RF00019	ENSG00000207293
GPBP1	ENSG00000062194
CTD-2516K3.3	ENSG00000248586
CTD-2023N9.1	ENSG00000250961
CTD-2516K3.1	ENSG00000250308
ACTBL2	ENSG00000169067
CTD-2023N9.2	ENSG00000248294
CTD-2023N9.3	ENSG00000249436
RP11-772C9.1	ENSG00000249198
RP11-478P10.1	ENSG00000249584
CTD-2037L6.2	ENSG00000248132
CTD-2037L6.1	ENSG00000248271
PLK2	ENSG00000145632
GAPT	ENSG00000175857
CTD-2117L12.3	ENSG00000271257
MIR548AE2	ENSG00000265699
CTD-2117L12.1	ENSG00000250127
RAB3C	ENSG00000152932
RP11-479O16.1	ENSG00000248475
CTD-2176I21.1	ENSG00000240412
CTD-2176I21.2	ENSG00000248733
PDE4D	ENSG00000113448
RP11-266N13.2	ENSG00000247345
CTD-2146O16.1	ENSG00000276214
CTD-2085F10.1	ENSG00000251306
MIR582	ENSG00000202601
CTD-2254N19.1	ENSG00000248935
RNU6-806P	ENSG00000202017
RP11-546M4.1	ENSG00000213896
RP11-546M4.3	ENSG00000214244
RF02159	ENSG00000273701
PART1	ENSG00000152931
RF02160	ENSG00000275634
RF02161	ENSG00000276233
DEPDC1B	ENSG00000035499
CTD-2003D5.1	ENSG00000251303
RP11-109B6.2	ENSG00000250148
ELOVL7	ENSG00000164181
RP11-231G3.1	ENSG00000272308
ERCC8	ENSG00000049167
AC104113.2	ENSG00000215032
AC104113.3	ENSG00000233847
NDUFAF2	ENSG00000164182
CTC-436P18.4	ENSG00000279985
CTC-436P18.5	ENSG00000276945
SMIM15	ENSG00000188725
CTC-436P18.1	ENSG00000251279
CTC-436P18.3	ENSG00000249279
ZSWIM6	ENSG00000130449
RP11-631M6.3	ENSG00000251682
RP11-631M6.2	ENSG00000250461
RP11-631M6.1	ENSG00000213891
C5orf64	ENSG00000178722
RP11-2O17.2	ENSG00000248529
RNU6-913P	ENSG00000212215
CTD-2170G1.2	ENSG00000251575
CTD-2244C20.1	ENSG00000249878
CTD-2244C20.2	ENSG00000248199
RN7SKP157	ENSG00000251983
KIF2A	ENSG00000068796
DIMT1	ENSG00000086189
IPO11	ENSG00000086200
RNU6-661P	ENSG00000199279
RP11-95I19.3	ENSG00000268942
RP11-95I19.2	ENSG00000241991
RP11-95I19.1	ENSG00000240436
LRRC70	ENSG00000186105
AC025477.1	ENSG00000217416
RP11-586E1.1	ENSG00000249579
CTD-2049O17.1	ENSG00000248185
RP11-158J3.2	ENSG00000248285
HTR1A	ENSG00000178394
RNF180	ENSG00000164197
AC016561.1	ENSG00000236068
RGS7BP	ENSG00000186479
RN7SL169P	ENSG00000242547
RNU6-294P	ENSG00000201869
CTD-2177J2.2	ENSG00000224296
FAM159B	ENSG00000145642
SREK1IP1	ENSG00000153006
CWC27	ENSG00000153015
RP11-307L14.1	ENSG00000272370
RP11-307L14.2	ENSG00000272354
RF00019	ENSG00000207439
ADAMTS6	ENSG00000049192
CTD-2194F4.2	ENSG00000248288
CTD-2194F4.1	ENSG00000250732
CTD-2375G15.1	ENSG00000205644
CTD-2116N20.1	ENSG00000250081
CENPK	ENSG00000123219
PPWD1	ENSG00000113593
TRIM23	ENSG00000113595
RNU6-540P	ENSG00000207352
TRAPPC13	ENSG00000113597
CTC-534A2.2	ENSG00000253251
SGTB	ENSG00000197860
NLN	ENSG00000123213
CTD-2353N24.1	ENSG00000251648
CTD-2033C11.1	ENSG00000269961
ERBIN	ENSG00000112851
RF00598	ENSG00000252904
SREK1	ENSG00000153914
AC025442.3	ENSG00000253744
CTD-2016O11.1	ENSG00000248846
RP11-305P14.1	ENSG00000251391
RP11-5P22.3	ENSG00000250313
RP11-5P22.1	ENSG00000234838
MAST4	ENSG00000069020
RP11-287J9.1	ENSG00000248803
RP11-287J9.2	ENSG00000249057
AC008872.1	ENSG00000229666
CD180	ENSG00000134061
CTD-2187J20.1	ENSG00000251206
RP11-434D9.1	ENSG00000249364
RP11-357D18.1	ENSG00000250978
RP11-83M16.1	ENSG00000239870
RP11-83M16.5	ENSG00000249736
RP11-83M16.2	ENSG00000249238
RP11-83M16.3	ENSG00000250669
RP11-83M16.4	ENSG00000249721
RP11-83M16.6	ENSG00000250421
RP11-434D9.2	ENSG00000249894
CTD-3066C23.1	ENSG00000273860
CTD-2060F24.1	ENSG00000253801
RNU6-1232P	ENSG00000252108
RP11-404L6.1	ENSG00000213864
RP11-404L6.2	ENSG00000253787
PIK3R1	ENSG00000145675
CTD-2582M21.1	ENSG00000251044
CTC-537E7.3	ENSG00000248884
CTC-537E7.1	ENSG00000249588
CTC-537E7.2	ENSG00000248359
CTC-340D7.1	ENSG00000249335
RP11-181E7.1	ENSG00000250289
RF00096	ENSG00000212249
RP11-141O11.1	ENSG00000250066
RN7SKP251	ENSG00000276309
RP11-141O11.2	ENSG00000249352
CTC-498J12.1	ENSG00000250237
CTC-498J12.2	ENSG00000249183
SLC30A5	ENSG00000145740
CTC-498J12.3	ENSG00000248664
SNORA50D	ENSG00000220986
SNORA50D	ENSG00000280894
CCNB1	ENSG00000134057
CTC-351M12.1	ENSG00000280187
CENPH	ENSG00000153044
MRPS36	ENSG00000134056
CDK7	ENSG00000134058
CCDC125	ENSG00000183323
RP11-1113N2.2	ENSG00000213830
RP11-1113N2.3	ENSG00000215006
RP11-1113N2.4	ENSG00000271045
AK6	ENSG00000085231
TAF9	ENSG00000273841
RAD17	ENSG00000152942
MARVELD2	ENSG00000152939
RPS27P14	ENSG00000244717
RP11-241G9.3	ENSG00000249295
RN7SL616P	ENSG00000266477
OCLN	ENSG00000197822
RNU6-724P	ENSG00000212260
GTF2H2C	ENSG00000183474
RP11-848G14.2	ENSG00000248477
RP11-848G14.5	ENSG00000250138
GUSBP3	ENSG00000253203
RP11-974F13.5	ENSG00000248769
RP11-98J23.2	ENSG00000198237
RP11-98J23.1	ENSG00000251158
CDH12P2	ENSG00000249230
SERF1B	ENSG00000205572
SMN2	ENSG00000205571
AC140134.2	ENSG00000285151
RP11-1319K7.1	ENSG00000179978
CDH12P3	ENSG00000253492
RP11-1415C14.4	ENSG00000254701
RP11-1415C14.3	ENSG00000253816
GTF2H2B	ENSG00000226259
RP11-497H16.9	ENSG00000269983
RP11-497H16.7	ENSG00000250687
RP11-497H16.8	ENSG00000253333
RP11-497H16.5	ENSG00000196302
RP11-589F5.4	ENSG00000253366
CDH12P1	ENSG00000254335
SERF1A	ENSG00000172058
SMN1	ENSG00000172062
RP11-974F13.3	ENSG00000285204
NAIP	ENSG00000249437
GTF2H2	ENSG00000145736
RP11-195E2.1	ENSG00000230847
RP11-1280N14.3	ENSG00000251634
CDH12P4	ENSG00000253900
RP11-1280N14.4	ENSG00000215630
RP11-1198D22.1	ENSG00000235558
RP11-136K7.2	ENSG00000250387
RP11-136K7.3	ENSG00000253985
PMCHL2	ENSG00000169040
RP11-136K7.1	ENSG00000249981
BDP1	ENSG00000145734
RP11-1174L13.2	ENSG00000253536
RP11-1174L13.3	ENSG00000247911
MCCC2	ENSG00000131844
CARTPT	ENSG00000164326
RP11-1315F8.2	ENSG00000278824
MAP1B	ENSG00000131711
MIR4803	ENSG00000264099
MRPS27	ENSG00000113048
RN7SL153P	ENSG00000244748
PTCD2	ENSG00000049883
RP11-389C8.1	ENSG00000244061
CTC-349J22.1	ENSG00000251108
RP11-389C8.2	ENSG00000261269
ZNF366	ENSG00000178175
CTC-347C20.2	ENSG00000248371
CTC-347C20.1	ENSG00000251613
RP11-474H20.1	ENSG00000226544
AC063979.1	ENSG00000223497
RF00019	ENSG00000206770
CTD-2631K10.1	ENSG00000249085
TNPO1	ENSG00000083312
MIR4804	ENSG00000263593
CTD-2339M3.1	ENSG00000242602
CTD-2376I4.1	ENSG00000271926
CTD-2376I4.2	ENSG00000272081
FCHO2	ENSG00000157107
CTC-250P20.2	ENSG00000251467
CTC-250P20.1	ENSG00000248930
TMEM171	ENSG00000157111
RP11-232L2.2	ENSG00000251599
RP11-232L2.1	ENSG00000250747
TMEM174	ENSG00000164325
RP11-60A8.1	ENSG00000249743
RP11-60A8.2	ENSG00000251543
RP11-79P5.3	ENSG00000249149
FOXD1	ENSG00000251493
RP11-79P5.2	ENSG00000247993
RP11-79P5.7	ENSG00000251604
RP11-79P5.5	ENSG00000251324
RP11-79P5.9	ENSG00000272525
BTF3	ENSG00000145741
RP11-79P5.10	ENSG00000255883
ANKRA2	ENSG00000164331
UTP15	ENSG00000164338
ARHGEF28	ENSG00000214944
CTC-575I10.1	ENSG00000249293
CTD-2372A4.1	ENSG00000184084
RNU7-196P	ENSG00000238913
RP11-428C6.2	ENSG00000259968
CTD-2292M14.1	ENSG00000248474
CTD-2275D24.4	ENSG00000248942
RN7SL814P	ENSG00000244326
CTD-2275D24.1	ENSG00000251041
CTD-2275D24.2	ENSG00000249343
CTD-2275D24.3	ENSG00000250446
CTC-419K13.1	ENSG00000248673
ENC1	ENSG00000171617
HEXB	ENSG00000049860
GFM2	ENSG00000164347
RNU6-658P	ENSG00000207336
NSA2	ENSG00000164346
FAM169A	ENSG00000198780
RNU6-1330P	ENSG00000199645
CTD-2060C23.1	ENSG00000250071
CTD-2377O17.1	ENSG00000271714
RF00561	ENSG00000212363
CTD-2503O16.4	ENSG00000249856
CTD-2503O16.3	ENSG00000196390
CTD-2503O16.1	ENSG00000239517
CTD-2503O16.2	ENSG00000182383
RP11-229C3.4	ENSG00000249157
GCNT4	ENSG00000176928
RP11-229C3.2	ENSG00000250889
ANKRD31	ENSG00000145700
CTD-2006B8.1	ENSG00000251663
CTD-2235C13.2	ENSG00000247372
HMGCR	ENSG00000113161
COL4A3BP	ENSG00000113163
CTD-2235C13.3	ENSG00000271815
CTD-2235C13.1	ENSG00000242198
POLK	ENSG00000122008
RNU7-175P	ENSG00000251724
CTC-366B18.2	ENSG00000248881
CTC-366B18.4	ENSG00000272040
ANKDD1B	ENSG00000189045
POC5	ENSG00000152359
RNU6-680P	ENSG00000207333
CTD-2001A16.1	ENSG00000251078
RP11-524L6.4	ENSG00000251419
RP11-524L6.3	ENSG00000249301
RP11-524L6.1	ENSG00000248684
RP11-524L6.2	ENSG00000228367
CTC-235G5.1	ENSG00000249777
CTC-235G5.2	ENSG00000251342
CTC-235G5.3	ENSG00000248127
SV2C	ENSG00000122012
RNA5SP186	ENSG00000252833
RP11-466P24.5	ENSG00000251668
RAP1BL	ENSG00000254893
RP11-466P24.3	ENSG00000249014
RP11-466P24.4	ENSG00000251107
RP11-466P24.6	ENSG00000250348
RP11-156N15.1	ENSG00000251235
IQGAP2	ENSG00000145703
CTD-2275D10.2	ENSG00000250574
CTD-2236F14.1	ENSG00000249713
F2RL2	ENSG00000164220
CTD-2384B11.2	ENSG00000225407
RF02154	ENSG00000277188
RF02155	ENSG00000278237
F2R	ENSG00000181104
F2RL1	ENSG00000164251
RN7SL208P	ENSG00000264391
S100Z	ENSG00000171643
RNU6ATAC36P	ENSG00000252684
CRHBP	ENSG00000145708
AGGF1	ENSG00000164252
CTC-564N23.6	ENSG00000285000
ZBED3	ENSG00000132846
CTC-564N23.2	ENSG00000250615
SNORA47	ENSG00000238961
ZBED3-AS1	ENSG00000250802
CTC-337B15.3	ENSG00000284762
CTC-564N23.5	ENSG00000251566
PDE8B	ENSG00000113231
CTC-316M18.1	ENSG00000251400
WDR41	ENSG00000164253
RPS2P24	ENSG00000244019
RPL7P23p	ENSG00000244363
OTP	ENSG00000171540
TBCA	ENSG00000171530
CTD-2309M13.1	ENSG00000213763
RP11-107N7.1	ENSG00000253572
AP3B1	ENSG00000132842
CTD-2179L22.1	ENSG00000253558
RP11-442I12.1	ENSG00000249372
CTD-2037K23.1	ENSG00000251605
RNU6-183P	ENSG00000200331
RF00019	ENSG00000206714
CTD-2037K23.2	ENSG00000245556
SCAMP1	ENSG00000085365
LHFPL2	ENSG00000145685
CTC-428I3.1	ENSG00000248909
CTD-2073O6.1	ENSG00000254170
CTD-2045M21.1	ENSG00000254310
ARSB	ENSG00000113273
DMGDH	ENSG00000132837
CTD-2299I21.1	ENSG00000214890
BHMT2	ENSG00000132840
BHMT	ENSG00000145692
RNY3P1	ENSG00000201955
CTC-422A18.1	ENSG00000249829
RF00425	ENSG00000206592
CTC-422A18.2	ENSG00000250330
JMY	ENSG00000152409
CTC-451P13.1	ENSG00000213757
HOMER1	ENSG00000152413
RP11-342F17.1	ENSG00000213755
RP11-342F17.2	ENSG00000243160
RF00019	ENSG00000207391
RF00019	ENSG00000277818
PAPD4	ENSG00000164329
CMYA5	ENSG00000164309
CTC-431G16.2	ENSG00000250258
CTC-431G16.3	ENSG00000238254
RP11-168A11.1	ENSG00000250888
MTX3	ENSG00000177034
THBS4	ENSG00000113296
RP11-168A11.4	ENSG00000251050
RP11-168A11.3	ENSG00000249778
CTD-2201I18.1	ENSG00000249825
SERINC5	ENSG00000164300
CTC-458I2.2	ENSG00000251675
CTC-512J14.2	ENSG00000249438
CTC-512J14.7	ENSG00000184188
RF00322	ENSG00000251828
CTC-512J14.1	ENSG00000244076
SPZ1	ENSG00000164299
CTC-512J14.6	ENSG00000227087
CTC-512J14.5	ENSG00000248569
CTC-512J14.4	ENSG00000220157
RNU6-211P	ENSG00000206774
ZFYVE16	ENSG00000039319
CTD-2015H6.3	ENSG00000249042
FAM151B	ENSG00000152380
CTD-2015H6.2	ENSG00000242706
CTD-2015H6.1	ENSG00000240003
ANKRD34B	ENSG00000189127
CTC-325J23.4	ENSG00000251366
CTC-325J23.3	ENSG00000251221
DHFR	ENSG00000228716
CTC-325J23.2	ENSG00000249655
MTRNR2L2	ENSG00000271043
MSH3	ENSG00000113318
RP11-241J12.3	ENSG00000248967
RP11-241J12.1	ENSG00000244630
CTC-459I6.1	ENSG00000251450
RASGRF2	ENSG00000113319
CTD-2193P3.1	ENSG00000251001
CTD-2193P3.2	ENSG00000249772
CTC-281B15.1	ENSG00000247572
CKMT2	ENSG00000131730
CTD-2248H3.1	ENSG00000248794
ZCCHC9	ENSG00000131732
ACOT12	ENSG00000172497
SSBP2	ENSG00000145687
CTD-2249K22.1	ENSG00000249483
SHFM1P	ENSG00000214857
ATG10	ENSG00000152348
RP11-356D23.3	ENSG00000236447
PPIAP11	ENSG00000251495
RP11-356D23.2	ENSG00000248192
RN7SL378P	ENSG00000265684
RPS23P5	ENSG00000251374
RPS23	ENSG00000186468
ATP6AP1L	ENSG00000205464
CTD-2015A6.1	ENSG00000248393
CTD-2015A6.2	ENSG00000248870
CTD-2218K11.2	ENSG00000249100
CTD-2218K11.1	ENSG00000240411
CTD-2218K11.3	ENSG00000248105
MIR3977	ENSG00000283359
LINC01338	ENSG00000281327
RP11-78C3.1	ENSG00000248112
CTD-2227C6.3	ENSG00000249857
CTD-2227C6.1	ENSG00000248400
CTD-2227C6.2	ENSG00000249664
RP11-343L5.2	ENSG00000271862
TMEM167A	ENSG00000174695
SCARNA18	ENSG00000238835
XRCC4	ENSG00000152422
CTD-2110K23.1	ENSG00000243385
CTC-556K20.1	ENSG00000251552
CTC-566C5.1	ENSG00000251395
VCAN	ENSG00000038427
CTC-348L14.1	ENSG00000249835
HAPLN1	ENSG00000145681
RN7SKP295	ENSG00000253073
RNU6-620P	ENSG00000206744
CTC-484M2.1	ENSG00000242858
RNU4-11P	ENSG00000202157
RP11-456A14.1	ENSG00000250013
EDIL3	ENSG00000164176
RNU6-448P	ENSG00000252861
CTD-2269F5.1	ENSG00000250320
RP11-509M23.1	ENSG00000214853
CTC-384G19.1	ENSG00000249349
RP11-1072N2.1	ENSG00000248674
RP11-1072N2.2	ENSG00000250253
RP11-1072N2.3	ENSG00000249792
RP11-1072N2.4	ENSG00000248170
CTD-2331D11.2	ENSG00000248667
CTD-2331D11.3	ENSG00000249023
CTD-2331D11.4	ENSG00000249842
CTD-2331D11.1	ENSG00000243859
CTC-534B23.1	ENSG00000251066
CTC-480C2.1	ENSG00000250874
CTD-2036A18.1	ENSG00000241965
CTD-2036A18.2	ENSG00000249153
CTC-447O6.1	ENSG00000250359
NBPF22P	ENSG00000205449
CTD-2123J17.2	ENSG00000280009
CTC-261N6.3	ENSG00000248195
CTC-261N6.1	ENSG00000248363
CTC-261N6.2	ENSG00000250124
CTD-2299E8.1	ENSG00000251585
COX7C	ENSG00000127184
hsa-mir-3607	ENSG00000284078
RNU6-804P	ENSG00000207013
CTC-493L21.1	ENSG00000250544
CTC-493L21.2	ENSG00000248701
CTD-2161E19.1	ENSG00000242477
RP11-72L22.1	ENSG00000249061
RN7SKP34	ENSG00000251951
MIR4280	ENSG00000265919
CTC-242N15.1	ENSG00000233828
RASA1	ENSG00000145715
RN7SL629P	ENSG00000241243
RNU6-606P	ENSG00000207452
CCNH	ENSG00000134480
CTC-428H11.2	ENSG00000285190
RNU6-727P	ENSG00000200462
CTD-2316B1.1	ENSG00000249362
CTD-2316B1.2	ENSG00000248708
TMEM161B	ENSG00000164180
CTC-358I24.1	ENSG00000247828
RNA5SP187	ENSG00000207129
CTC-498M16.1	ENSG00000240083
RF00156	ENSG00000206958
CTC-498M16.3	ENSG00000250306
CTC-498M16.2	ENSG00000250156
CTC-498M16.4	ENSG00000271904
LINC00461	ENSG00000245526
CTC-470C15.1	ENSG00000250705
MIR9-2	ENSG00000284447
CTC-467M3.1	ENSG00000245864
CTC-467M3.3	ENSG00000250377
CTC-467M3.2	ENSG00000250555
MEF2C	ENSG00000081189
CTC-454M9.1	ENSG00000248309
CTD-2232E5.2	ENSG00000250831
RP11-116A1.1	ENSG00000250437
AC113167.1	ENSG00000214942
AC113167.2	ENSG00000249265
MIR3660	ENSG00000264342
RP11-61G23.1	ENSG00000248555
RP11-61G23.2	ENSG00000253321
CTD-2373J6.1	ENSG00000260871
CETN3	ENSG00000153140
CTD-2373J6.2	ENSG00000255647
MBLAC2	ENSG00000176055
POLR3G	ENSG00000113356
LYSMD3	ENSG00000176018
ADGRV1	ENSG00000164199
CTD-2266L18.1	ENSG00000249514
RP11-414H23.2	ENSG00000212930
RP11-414H23.3	ENSG00000251093
RNU4-90P	ENSG00000199643
RP11-213H15.1	ENSG00000234292
RP11-213H15.3	ENSG00000248323
RP11-213H15.4	ENSG00000271762
RF00017	ENSG00000277001
CTD-2061E19.1	ENSG00000240388
CTD-2061E19.6	ENSG00000241059
ARRDC3	ENSG00000113369
ARRDC3-AS1	ENSG00000281357
CTD-2281D19.1	ENSG00000251356
RP11-543L14.1	ENSG00000248826
RF02271	ENSG00000276426
RP11-348J24.2	ENSG00000250049
RP11-348J24.1	ENSG00000248864
RP11-133F8.2	ENSG00000249776
CTC-529L17.1	ENSG00000249169
CTC-529L17.2	ENSG00000249984
CTC-458G6.4	ENSG00000248588
CTC-458G6.1	ENSG00000248950
CTC-458G6.3	ENSG00000249958
CTC-458G6.2	ENSG00000248528
CTD-2091N23.1	ENSG00000251361
AC008500.1	ENSG00000213730
RP11-65F13.2	ENSG00000237187
NR2F1	ENSG00000175745
RP11-65F13.3	ENSG00000278905
FAM172A	ENSG00000113391
MIR2277	ENSG00000284336
RP11-65F13.1	ENSG00000249353
POU5F2	ENSG00000248483
RP11-185E12.2	ENSG00000272406
RP11-549J18.1	ENSG00000251023
KIAA0825	ENSG00000185261
RP11-461G12.1	ENSG00000251544
RP11-461G12.3	ENSG00000254132
RP11-461G12.2	ENSG00000251340
CTC-303L1.1	ENSG00000232578
CTC-303L1.2	ENSG00000270133
SLF1	ENSG00000133302
MCTP1	ENSG00000175471
CTC-484P3.3	ENSG00000249175
CTC-484P3.1	ENSG00000243806
RF02271	ENSG00000276514
CTC-558O19.1	ENSG00000249545
FAM81B	ENSG00000153347
CTD-2538A21.1	ENSG00000225165
TTC37	ENSG00000198677
RNU6-308P	ENSG00000212259
ARSK	ENSG00000164291
GPR150	ENSG00000178015
RFESD	ENSG00000175449
SPATA9	ENSG00000145757
CTD-2154I11.2	ENSG00000250240
RHOBTB3	ENSG00000164292
GLRX	ENSG00000173221
CTD-2154I11.3	ENSG00000251348
AC008592.3	ENSG00000251000
AC008592.4	ENSG00000251409
AC008592.8	ENSG00000272021
C5orf27	ENSG00000236882
AC008592.5	ENSG00000250362
ELL2	ENSG00000118985
CTD-2337A12.1	ENSG00000251314
AC008592.7	ENSG00000250955
AC008592.6	ENSG00000213716
RP11-254I22.1	ENSG00000250551
MIR583	ENSG00000207578
RNU6-524P	ENSG00000206997
RP11-254I22.3	ENSG00000249746
RP11-254I22.2	ENSG00000250158
PCSK1	ENSG00000175426
CAST	ENSG00000153113
CTC-506B8.1	ENSG00000249180
ERAP1	ENSG00000164307
CTD-2260A17.1	ENSG00000248734
CTD-2260A17.3	ENSG00000272109
CTD-2260A17.2	ENSG00000247121
ERAP2	ENSG00000164308
LNPEP	ENSG00000113441
AC008850.3	ENSG00000227836
RF00019	ENSG00000200884
CTD-2193I10.1	ENSG00000213701
CTD-2215E18.1	ENSG00000251513
LIX1	ENSG00000145721
RIOK2	ENSG00000058729
RNU1-73P	ENSG00000206698
CTD-2215E18.2	ENSG00000248758
CTD-2215E18.3	ENSG00000251054
CTD-2278B20.1	ENSG00000249761
RP11-155G15.1	ENSG00000251389
RP11-155G15.3	ENSG00000249977
RP11-1E3.1	ENSG00000250331
RP11-72K17.2	ENSG00000248931
RP11-72K17.1	ENSG00000251193
RP11-455B3.1	ENSG00000248202
AC008834.2	ENSG00000249101
AC008834.1	ENSG00000248901
RP11-274E7.1	ENSG00000249135
RP11-274E7.2	ENSG00000238000
CH17-12M21.1	ENSG00000176183
RP11-474J18.4	ENSG00000250221
RP11-474J18.3	ENSG00000250830
RP11-474J18.2	ENSG00000249990
RP11-474J18.1	ENSG00000249448
CTD-2341D24.1	ENSG00000251102
CTC-463N11.1	ENSG00000251553
RGMB	ENSG00000174136
CTC-463N11.3	ENSG00000246763
CTC-463N11.4	ENSG00000279232
CTD-2007H13.2	ENSG00000250162
CHD1	ENSG00000153922
RNU6-402P	ENSG00000222610
CTD-2007H13.3	ENSG00000248489
RF00019	ENSG00000200351
CTD-2007H13.1	ENSG00000241597
RP11-93O17.1	ENSG00000249444
RP11-93O17.2	ENSG00000206356
RP11-93O17.3	ENSG00000227762
CTD-2151A2.1	ENSG00000249515
CTD-2151A2.2	ENSG00000248236
CTD-2151A2.3	ENSG00000248928
CTD-2160D9.1	ENSG00000250391
RP11-475J5.1	ENSG00000249963
RF00019	ENSG00000199378
RP11-475J5.7	ENSG00000270232
RP11-475J5.11	ENSG00000270230
MTND5P10	ENSG00000271687
RP11-475J5.6	ENSG00000270906
RP11-475J5.9	ENSG00000270350
RP11-475J5.10	ENSG00000271480
RP11-475J5.8	ENSG00000270388
MTATP6P2	ENSG00000270307
RP11-475J5.4	ENSG00000270225
RP11-475J5.5	ENSG00000271207
CTD-2012B7.1	ENSG00000274455
RNU6-1119P	ENSG00000207077
RP11-346J10.2	ENSG00000275374
RP11-346J10.3	ENSG00000273957
RP11-346J10.1	ENSG00000249787
CTD-2001C12.1	ENSG00000247877
FAM174A	ENSG00000174132
CTC-293G12.1	ENSG00000250806
RN7SKP62	ENSG00000207269
ST8SIA4	ENSG00000113532
MIR548P	ENSG00000221263
