#hg19.knownToEnsembl.value	hg19.kgXref.kgID	hg19.kgXref.geneSymbol	hg19.kgXref.refseq	hg19.knownToRefSeq.value
ENST00000389680	uc022bqo.2	MT-RNR1		n/a
ENST00000558577	uc002bhh.5	LOC80154		NR_026811
ENST00000558577	uc010bly.2	LOC80154		NR_026811
ENST00000330339	uc002bhr.1	RPS17L	NM_001199057	NM_001199057
ENST00000330339	uc021ssu.2	RPS17L		NM_001199057
ENST00000560844	uc010unx.1	RP13-996F3.5		n/a
ENST00000558229	uc021ssx.1	CSPG4P8		NR_033579
ENST00000557886	uc021ssz.1	RP13-996F3.4		NM_001164465
ENST00000557886	uc021sta.1	RP13-996F3.4		NM_001164465
ENST00000559952	uc002bij.5	LOC80154		NR_026811
ENST00000559952	uc002bii.5	LOC80154		NR_033936
ENST00000559952	uc010bmi.3	LOC80154		NR_103496
ENST00000559952	uc010bmn.4	LOC727751		NR_102747
ENST00000559952	uc010bmk.3	LOC727751		NR_102748
ENST00000559952	uc010bmm.4	LOC80154		NR_033936
ENST00000559952	uc010bmj.4	LOC80154		NR_026811
ENST00000559952	uc010bml.4	LOC80154		NR_026811
ENST00000559952	uc010bmo.2	LOC80154		NR_026811
ENST00000330244	uc002bio.1	RPS17	NM_001199057	NM_001199057
ENST00000569015	uc002bip.3	CPEB1	NM_001079535	NM_001079535
ENST00000450751	uc002biq.3	CPEB1	NM_001079534	NM_001079534
ENST00000450751	uc002bir.3	CPEB1	NM_001079533	NM_001079533
ENST00000450751	uc002bis.3	CPEB1	NM_001079535	NM_001079535
ENST00000450751	uc010uod.2	CPEB1		NM_001079534
ENST00000450751	uc010uoe.2	CPEB1	NM_001079535	NM_001079535
ENST00000563800	uc002bit.3	CPEB1	NM_001079533	NM_001079533
ENST00000563800	uc002biu.3	CPEB1	NM_001079535	NM_001079535
ENST00000450751	uc010uof.2	CPEB1	NM_001079535	NM_001079535
ENST00000450751	uc002biv.3	CPEB1	NM_030594	NM_030594
ENST00000537735	uc010bmp.3	AP3B2		NM_004644
ENST00000543938	uc010uog.2	AP3B2	NM_004644	NM_004644
ENST00000261722	uc010uoh.2	AP3B2	NM_004644	NM_004644
ENST00000261722	uc010uoi.2	AP3B2	NM_004644	NM_004644
ENST00000261722	uc010uoj.2	AP3B2	NM_004644	NM_004644
ENST00000535513	uc010uok.1	AP3B2		NM_004644
ENST00000440089	uc002biz.3	LOC338963		NR_034139
ENST00000440479	uc002bja.3	LOC338963		NR_034139
ENST00000560958	uc002bjb.3	LOC283693		NR_036446
ENST00000334574	uc002bjd.2	FSD2	NM_001007122	NM_001007122
ENST00000334574	uc010uol.1	FSD2	NM_001007122	NM_001007122
ENST00000334574	uc010uom.1	FSD2	NM_001007122	NM_001007122
ENST00000304231	uc002bjg.3	HOMER2	NM_199330	NM_199330
ENST00000304231	uc002bjh.3	HOMER2	NM_004839	NM_004839
ENST00000500334	uc002bjk.1	HOMER2		n/a
ENST00000538348	uc010uon.2	C15orf40	NM_001160116	NM_001160116
ENST00000451195	uc010uoo.1	C15orf40	NM_001160115	NM_001160115
ENST00000304177	uc002bjm.3	C15orf40	NM_144597	NM_144597
ENST00000304177	uc010uoq.2	C15orf40		NR_027650
ENST00000304177	uc010uop.2	C15orf40	NM_001160114	NM_001160114
ENST00000506912	uc010uor.1	C15orf40	NM_001160113	NM_001160113
ENST00000261721	uc002bjn.3	BTBD1	NM_025238	NM_025238
ENST00000261721	uc002bjo.3	BTBD1	NM_001011885	NM_001011885
ENST00000299633	uc002bjs.2	HDGFL3	NM_016073	NM_016073
ENST00000345382	uc010uos.1	BNC1	NM_001717	NM_001717
ENST00000345382	uc002bjt.1	BNC1	NM_001717	NM_001717
ENST00000436127	uc002bka.3	LOC388152		NR_027001
ENST00000316967	uc002bkb.3	LOC388152		NR_027001
ENST00000557881	uc010bmv.2	LOC388152		NR_027001
ENST00000559654	uc010bmw.1	LOC388152		NR_027001
ENST00000414190	uc002bkm.2	RP11-182J1.12		NR_003246
ENST00000339094	uc002bkn.1	UBE2Q2P1		NR_003661
ENST00000559994	uc002bkv.2	WDR73		NM_032856
ENST00000434634	uc002bkw.2	WDR73	NM_032856	NM_032856
ENST00000398528	uc002bkx.2	WDR73		NM_032856
ENST00000560966	uc010upa.1	WDR73		NM_032856
ENST00000394588	uc002bkz.3	NMB	NM_021077	NM_021077
ENST00000394588	uc002bla.3	NMB	NM_205858	NM_205858
ENST00000268220	uc002blc.2	SEC11A	NM_001271918	NM_001271918
ENST00000268220	uc031qtf.1	SEC11A	NM_001271920	NM_001271920
ENST00000268220	uc031qtg.1	SEC11A	NM_001271922	NM_001271922
ENST00000268220	uc031qth.1	SEC11A	NM_001271920	NM_001271920
ENST00000268220	uc002blb.2	SEC11A	NM_014300	NM_014300
ENST00000268220	uc031qti.1	SEC11A	NM_001271919	NM_001271919
ENST00000268220	uc031qtj.1	SEC11A	NM_001271921	NM_001271921
ENST00000357253	uc002blo.2	BC096759		n/a
ENST00000560405	uc010upi.1	AK308544		n/a
ENST00000337975	uc002bly.3	KLHL25	NM_022480	NM_022480
ENST00000408707	uc021stx.1	MIR1276		NR_031682
ENST00000517155	uc021stz.1	5S_rRNA		n/a
ENST00000566878	uc031qtm.1	AGBL1-AS1		NR_046012
ENST00000394480	uc002bmh.2	NTRK3	NM_001243101	NM_001243101
ENST00000394480	uc002bme.2	NTRK3	NM_001012338	NM_001012338
ENST00000394480	uc002bmf.2	NTRK3	NM_002530	NM_002530
ENST00000394480	uc021sua.1	NTRK3	NM_001243101	NM_001243101
ENST00000542733	uc010upl.1	NTRK3	NM_002530	NM_002530
ENST00000558676	uc010bnh.1	NTRK3	NM_001243101	NM_001243101
ENST00000317501	uc010bni.2	NTRK3		NM_001007156
ENST00000317501	uc002bmg.3	NTRK3	NM_001007156	NM_001007156
ENST00000558660	uc002bmi.1	MRPL46	NM_022163	NM_022163
ENST00000312475	uc002bmj.2	MRPL46	NM_022163	NM_022163
ENST00000606927	uc002bmo.1	DET1		n/a
ENST00000557842	uc002bmp.4	DET1		NM_001144074
ENST00000564406	uc002bmq.2	DET1	NM_017996	NM_017996
ENST00000268148	uc002bmr.2	RP11-97O12.7	NM_001144074	NM_001144074
ENST00000557842	uc010bnk.2	DET1		NR_026645
ENST00000506090	uc002bms.1	LINC01586		n/a
ENST00000359595	uc002bnc.3	HAPLN3	NM_178232	NM_178232
ENST00000558770	uc002bne.3	HAPLN3		NM_178232
ENST00000359595	uc002bnd.3	HAPLN3	NM_178232	NM_178232
ENST00000539437	uc002bnf.4	MFGE8	NM_005928	NM_005928
ENST00000268150	uc002bng.4	MFGE8	NM_005928	NM_005928
ENST00000268150	uc002bnh.4	MFGE8	NM_001114614	NM_001114614
ENST00000539437	uc010bnn.3	MFGE8		NM_005928
ENST00000268150	uc010upq.2	MFGE8	NM_005928	NM_005928
ENST00000558352	uc010bno.3	MFGE8		NM_001114614
ENST00000268125	uc002bnl.3	RLBP1	NM_000326	NM_000326
ENST00000268124	uc002bns.4	POLG	NM_002693	NM_002693
ENST00000268124	uc002bnr.4	POLG	NM_001126131	NM_001126131
ENST00000268122	uc002bnz.2	RHCG	NM_016321	NM_016321
ENST00000560081	uc002boa.2	RHCG		NM_016321
ENST00000558184	uc010bnq.1	RHCG		NM_016321
ENST00000561201	uc002bob.3	LINC00928		NR_027075
ENST00000561201	uc002bod.3	LINC00928		NR_027077
ENST00000561201	uc010upt.2	LINC00928		NR_027076
ENST00000561201	uc010upu.2	LINC00928		NR_027074
ENST00000561201	uc002boc.3	LINC00928		NR_027075
ENST00000394412	uc010upw.1	KIF7	NM_198525	NM_198525
ENST00000394412	uc002bof.2	KIF7	NM_198525	NM_198525
ENST00000394412	uc002bog.2	KIF7		NM_198525
ENST00000430628	uc010upx.1	PLIN1	NM_001145311	NM_001145311
ENST00000300055	uc002boh.2	PLIN1	NM_002666	NM_002666
ENST00000300056	uc031qtn.1	PEX11A	NM_001271572	NM_001271572
ENST00000300056	uc002boi.4	PEX11A	NM_003847	NM_003847
ENST00000300056	uc010upy.3	PEX11A	NM_001271573	NM_001271573
ENST00000300057	uc002bol.3	MESP1	NM_018670	NM_018670
ENST00000300060	uc002bop.4	ANPEP	NM_001150	NM_001150
ENST00000336418	uc010bns.3	AP3S2		NR_023361
ENST00000336418	uc002bor.4	AP3S2		NR_037582
ENST00000336418	uc002boq.4	AP3S2	NM_005829	NM_005829
ENST00000336418	uc002bos.4	AP3S2	NM_001199058	NM_001199058
ENST00000578766	uc031qto.1	MIR5094		NR_049817
ENST00000460685	uc002bot.1	ARPIN		NM_182616
ENST00000357484	uc002bou.2	ARPIN	NM_182616	NM_182616
ENST00000330062	uc010uqb.2	IDH2	NM_002168	NM_002168
ENST00000330062	uc002box.3	IDH2	NM_002168	NM_002168
ENST00000330062	uc010uqc.2	IDH2	NM_002168	NM_002168
ENST00000328649	uc031qtp.1	CIB1	NM_001277764	NM_001277764
ENST00000328649	uc002bpb.4	CIB1	NM_006384	NM_006384
ENST00000328649	uc031qtq.1	CIB1		NR_102427
ENST00000328649	uc031qtr.1	CIB1		NR_102428
ENST00000330334	uc002bqe.4	HDDC3	NM_198527	NM_198527
ENST00000361188	uc002bqm.4	PRC1	NM_003981	NM_003981
ENST00000361188	uc002bqn.4	PRC1	NM_199413	NM_199413
ENST00000361188	uc010uqs.3	PRC1	NM_001267580	NM_001267580
ENST00000417173	uc010uqt.2	PRC1	NM_199413	NM_199413
ENST00000333371	uc002bqp.1	VPS33B	NM_018668	NM_018668
ENST00000333371	uc002bqq.1	VPS33B		NM_018668
ENST00000333371	uc010uqu.1	VPS33B	NM_018668	NM_018668
ENST00000557075	uc002brd.2	LINC00930		NR_021493
ENST00000327355	uc010boe.3	FAM174B	NM_207446	NM_207446
ENST00000327355	uc002bsl.4	FAM174B		NM_207446
ENST00000542321	uc002bsq.2	RGMA	NM_001166286	NM_001166286
ENST00000425933	uc021svs.1	RGMA	NM_001166289	NM_001166289
ENST00000425933	uc021svt.1	RGMA	NM_001166288	NM_001166288
ENST00000538818	uc010boi.2	RGMA		NM_001166288
ENST00000538818	uc002bsr.2	RGMA		NM_001166288
ENST00000425933	uc010urc.2	RGMA	NM_001166283	NM_001166283
ENST00000543599	uc021svu.1	RGMA	NM_001166287	NM_001166287
ENST00000329082	uc002bss.2	RGMA	NM_020211	NM_020211
ENST00000556708	uc002bta.1	RP11-164C12.2		n/a
ENST00000557481	uc002bte.1	LINC01579		n/a
ENST00000508732	uc002btm.3	LINC01197		NR_034095
ENST00000561344	uc031qud.1	NR2F2-AS1		NR_102743
ENST00000502125	uc002bto.2	NR2F2-AS1		NR_102743
ENST00000560010	uc031que.1	NR2F2-AS1		NR_102744
ENST00000560888	uc031qug.1	SPATA8-AS1		NR_102754
ENST00000558722	uc010uro.2	SPATA8-AS1		NR_102753
ENST00000503768	uc002bug.1	LINC00923		NR_024172
ENST00000503768	uc002buh.1	LINC00923		NR_024173
ENST00000558256	uc002buk.1	FAM169B	NM_182562	NM_182562
ENST00000535714	uc002bum.3	PGPEP1L	NM_001102612	NM_001102612
ENST00000535714	uc010bop.3	PGPEP1L		NM_001102612
ENST00000535714	uc002bun.3	PGPEP1L	NM_001167902	NM_001167902
ENST00000394136	uc002bur.3	TTC23	NM_022905	NM_022905
ENST00000394136	uc002bus.3	TTC23	NM_001040655	NM_001040655
ENST00000262074	uc002but.3	TTC23	NM_001040657	NM_001040657
ENST00000394136	uc002buu.3	TTC23	NM_001040658	NM_001040658
ENST00000262074	uc002buv.3	TTC23	NM_001040660	NM_001040660
ENST00000558613	uc002bux.3	TTC23	NM_001040659	NM_001040659
ENST00000558613	uc002buw.3	TTC23	NM_001040656	NM_001040656
ENST00000394136	uc010boq.3	TTC23		NM_022905
ENST00000394132	uc002buy.3	TTC23	NM_022905	NM_022905
ENST00000558613	uc010bor.3	TTC23	NM_022905	NM_022905
ENST00000394129	uc002buz.2	TTC23	NM_022905	NM_022905
ENST00000364854	uc021sxk.1	Y_RNA		n/a
ENST00000604213	uc002bvj.1	LYSMD4		NM_152449
ENST00000496108	uc010bou.1	LYSMD4		NM_152449
ENST00000409796	uc002bvk.3	LYSMD4		NM_152449
ENST00000344791	uc002bvl.3	LYSMD4	NM_152449	NM_152449
ENST00000344791	uc010bov.3	LYSMD4		NM_152449
ENST00000341853	uc021sxl.1	DNM1P46		NR_003260
ENST00000559110	uc010bow.3	DNM1P46		NR_003260
ENST00000268070	uc002bvv.1	ADAMTS17	NM_139057	NM_139057
ENST00000557896	uc002bvw.1	ADAMTS17		NM_139057
ENST00000378898	uc002bvx.1	ADAMTS17	NM_139057	NM_139057
ENST00000340644	uc010boy.2	SPATA41		NR_028140
ENST00000560282	uc010boz.2	SPATA41		NR_028139
ENST00000284382	uc002bvz.3	CERS3	NM_178842	NM_178842
ENST00000284382	uc002bwa.3	CERS3	NM_178842	NM_178842
ENST00000284382	uc031quk.1	CERS3	NM_178842	NM_178842
ENST00000284382	uc002bwb.3	CERS3	NM_178842	NM_178842
ENST00000602585	uc031qul.1	RP11-526I2.5		NR_073405
ENST00000559169	uc002bwd.3	LINS1	NM_001040616	NM_001040616
ENST00000314742	uc002bwg.3	LINS1	NM_001040616	NM_001040616
ENST00000561308	uc010usa.2	LINS1		NM_001040616
ENST00000561308	uc002bwi.3	LINS1	NM_001040616	NM_001040616
ENST00000560351	uc002bwo.1	RP11-66B24.4		n/a
ENST00000560068	uc002bwp.3	RP11-66B24.4		n/a
ENST00000254190	uc010usd.2	CHSY1	NM_014918	NM_014918
ENST00000254190	uc021sxt.1	CHSY1	NM_014918	NM_014918
ENST00000537379	uc021sxu.1	SELENOS	NM_203472	NM_203472
ENST00000526043	uc021sxv.1	SELENOS	NM_018445	NM_018445
ENST00000254193	uc002bww.3	SNRPA1	NM_003090	NM_003090
ENST00000254193	uc002bwx.3	SNRPA1		NM_003090
ENST00000254193	uc010bpc.3	SNRPA1		NM_003090
ENST00000561177	uc010bpd.3	PCSK6	NM_002570	NM_002570
ENST00000561177	uc002bwy.3	PCSK6	NM_002570	NM_002570
ENST00000561177	uc010bpe.3	PCSK6	NM_138319	NM_138319
ENST00000561109	uc002bxa.2	PCSK6	NM_138320	NM_138320
ENST00000559678	uc002bxb.2	PCSK6	NM_138321	NM_138321
ENST00000398181	uc002bxc.1	PCSK6	NM_138324	NM_138324
ENST00000398181	uc002bxd.1	PCSK6	NM_138323	NM_138323
ENST00000561444	uc002bxe.3	PCSK6	NM_138325	NM_138325
ENST00000398181	uc002bxg.1	PCSK6	NM_138322	NM_138322
ENST00000559107	uc010usg.1	TM2D3	NM_025141	NM_025141
ENST00000561373	uc002bxh.3	TM2D3	NM_025141	NM_025141
ENST00000333202	uc002bxi.3	TM2D3	NM_078474	NM_078474
ENST00000347970	uc002bxj.3	TM2D3	NM_025141	NM_025141
ENST00000559024	uc010ush.1	TM2D3	NM_078474	NM_078474
ENST00000335968	uc002bxl.3	TARS3		NM_152334
ENST00000335968	uc002bxm.3	TARS3	NM_152334	NM_152334
ENST00000335968	uc010usi.2	TARS3		NM_152334
ENST00000326183	uc002cdf.1	OR4F4	NM_001004195	NM_001004195
ENST00000559159	uc010utv.1	DDX11L9		NR_051985
ENST00000562189	uc002cds.2	DDX11L9		NR_034090
ENST00000562189	uc010utw.1	DDX11L9		NR_034090
ENST00000550708	uc010tkp.2	OR11H12	NM_001013354	NM_001013354
ENST00000547889	uc001vva.1	POTEM		NR_027480
ENST00000409832	uc001vuz.1	POTEM	NM_001005356	NM_001005356
ENST00000552966	uc010ahc.1	POTEM		NM_001005356
ENST00000546734	uc001vvi.3	CTD-2314B22.1		n/a
ENST00000418499	uc001vvk.1	BX248778		n/a
ENST00000441500	uc001vvl.4	AK022914		n/a
ENST00000553119	uc021rnj.1	BC016035		n/a
ENST00000551545	uc001vvt.3	BMS1P18		NR_073459
ENST00000547584	uc001vwd.3	RP11-244H18.1		n/a
ENST00000331723	uc010tkt.2	OR4Q3	NM_172194	NM_172194
ENST00000315957	uc010tku.2	OR4M1	NM_001005500	NM_001005500
ENST00000315947	uc010tkv.2	OR4N2	NM_001004723	NM_001004723
ENST00000298642	uc001vwh.1	OR4K2	NM_001005501	NM_001005501
ENST00000315915	uc010tkw.2	OR4K5	NM_001005483	NM_001005483
ENST00000285600	uc001vwj.2	OR4K1	NM_001004063	NM_001004063
ENST00000305051	uc010tkx.2	OR4K15	NM_001005486	NM_001005486
ENST00000315683	uc001vwn.1	OR4L1	NM_001004717	NM_001004717
ENST00000315543	uc001vwo.1	OR4K17	NM_001004715	NM_001004715
ENST00000333629	uc010tla.2	OR4N5	NM_001004724	NM_001004724
ENST00000357366	uc010tlb.2	OR11G2	NM_001005503	NM_001005503
ENST00000315519	uc010tlc.2	OR11H6	NM_001004480	NM_001004480
ENST00000315409	uc010tld.2	OR11H4	NM_001004479	NM_001004479
ENST00000429687	uc010tle.2	PARP2	NM_001042618	NM_001042618
ENST00000527915	uc001vxb.1	PARP2	NM_005484	NM_005484
ENST00000250416	uc001vxc.3	PARP2	NM_005484	NM_005484
ENST00000429687	uc001vxd.3	PARP2	NM_001042618	NM_001042618
ENST00000216714	uc001vxg.3	APEX1	NM_001641	NM_001641
ENST00000555414	uc001vxh.3	APEX1	NM_080648	NM_080648
ENST00000555414	uc001vxi.3	APEX1	NM_080649	NM_080649
ENST00000216714	uc021rnr.1	APEX1	NM_001244249	NM_001244249
ENST00000556293	uc010ahm.2	PNP		NM_000270
ENST00000557229	uc010ahn.3	PNP		NM_000270
ENST00000361505	uc001vxo.4	PNP	NM_000270	NM_000270
ENST00000556754	uc021rns.1	PNP	NM_000270	NM_000270
ENST00000328444	uc010tlj.2	RNASE10	NM_001012975	NM_001012975
ENST00000430083	uc001vxp.2	RNASE10	NM_001012975	n/a
ENST00000554993	uc001vxu.1	RP11-14J7.6		n/a
ENST00000336811	uc001vxw.4	ANG	NM_001145	NM_001145
ENST00000397990	uc001vxz.3	ANG	NM_001097577	NM_001097577
ENST00000555835	uc001vxy.4	RNASE4	NM_002937	NM_002937
ENST00000555835	uc001vxx.4	RP11-903H12.5		NM_002937
ENST00000555597	uc001vya.3	RNASE4	NM_194431	NM_194431
ENST00000326842	uc001vyc.3	EDDM3A	NM_006683	NM_006683
ENST00000326783	uc001vyd.3	EDDM3B	NM_022360	NM_022360
ENST00000304677	uc001vye.4	RNASE6	NM_005615	NM_005615
ENST00000304639	uc001vyj.3	RNASE3	NM_002935	NM_002935
ENST00000258817	uc021ror.1	RP11-84C10.2		NR_033909
ENST00000304625	uc010aif.2	RNASE2	NM_002934	NM_002934
ENST00000304625	uc001vyl.1	RNASE2	NM_002934	NM_002934
ENST00000554588	uc010tlk.2	METTL17		NM_022734
ENST00000339374	uc001vym.3	METTL17	NM_022734	NM_022734
ENST00000339374	uc001vyn.3	METTL17	NM_022734	NM_022734
ENST00000339374	uc001vyo.3	METTL17	NM_001029991	NM_001029991
ENST00000298681	uc001vyr.3	SLC39A2	NM_014579	NM_014579
ENST00000298681	uc001vys.4	SLC39A2	NM_001256588	NM_001256588
ENST00000534434	uc001vzh.3	TPPP2	NM_173846	NM_173846
ENST00000298690	uc001vzk.4	RNASE7	NM_032572	NM_032572
ENST00000298690	uc001vzl.2	RNASE7	NM_032572	NM_032572
ENST00000308227	uc010tlm.2	RNASE8	NM_138331	NM_138331
ENST00000555038	uc001vzn.1	ARHGEF40	NM_018071	NM_018071
ENST00000555232	uc001vzo.1	ARHGEF40	NM_018071	NM_018071
ENST00000298694	uc001vzp.3	ARHGEF40	NM_018071	NM_018071
ENST00000298694	uc010aij.3	ARHGEF40	NM_018071	NM_018071
ENST00000298693	uc010tln.2	ARHGEF40		NM_018071
ENST00000418511	uc010tlo.2	TMEM253	NM_001146683	NM_001146683
ENST00000557771	uc001waj.1	RPGRIP1		NM_020366
ENST00000400017	uc001wag.3	RPGRIP1	NM_020366	NM_020366
ENST00000206660	uc001wah.3	RPGRIP1	NM_020366	NM_020366
ENST00000382933	uc001wai.3	RPGRIP1	NM_020366	NM_020366
ENST00000206660	uc001wak.3	RPGRIP1	NM_020366	NM_020366
ENST00000555322	uc010aim.3	RPGRIP1		NM_020366
ENST00000557771	uc001wal.3	RPGRIP1		NM_020366
ENST00000553927	uc001wam.3	RPGRIP1	NM_020366	NM_020366
ENST00000476180	uc001way.3	TOX4		NM_014828
ENST00000405508	uc001waz.3	TOX4	NM_014828	NM_014828
ENST00000405508	uc010tlu.2	TOX4	NM_014828	NM_014828
ENST00000405508	uc010tlv.2	TOX4		NM_014828
ENST00000542354	uc001wbi.2	TRAV1-1		n/a
ENST00000390423	uc001wbk.3	TRAV1-2		n/a
ENST00000408935	uc010tmd.2	OR4E2	NM_001001912	NM_001001912
ENST00000390424	uc021roz.1	TRAV2		n/a
ENST00000390425	uc001wbn.3	TRAV3		n/a
ENST00000390426	uc001wbp.2	TRAV4		n/a
ENST00000390427	uc010aip.1	TRAV5		n/a
ENST00000390427	uc010aiq.1	TRAV5		n/a
ENST00000390428	uc001wbt.1	TRAV6		n/a
ENST00000390430	uc010air.1	TRAV8-1		n/a
ENST00000390432	uc010ais.1	TRAV10		n/a
ENST00000390433	uc001wbx.2	TRAV12-1		n/a
ENST00000390434	uc010ait.1	TRAV8-2		n/a
ENST00000390434	uc001wbz.1	TRAV8-2		n/a
ENST00000390435	uc001wcb.2	TRAV8-3		n/a
ENST00000390435	uc001wcc.3	TRAV8-3		n/a
ENST00000390437	uc021rph.1	TRAV12-2		n/a
ENST00000390439	uc010aiy.2	TRAV13-2		n/a
ENST00000390439	uc001wch.2	TRAV13-2		n/a
ENST00000390440	uc010aiz.2	TRAV14DV4		n/a
ENST00000390441	uc001wck.3	TRAV9-2		n/a
ENST00000390442	uc021rpm.1	TRAV12-3		n/a
ENST00000390425	uc021rpa.1	TRAV3		n/a
ENST00000390445	uc001wcq.3	TRAV17		n/a
ENST00000390445	uc010ajd.1	TRAV17		n/a
ENST00000390446	uc001wct.4	TRAV18		n/a
ENST00000390448	uc021rpo.1	TRAV20		n/a
ENST00000390438	uc021rpj.2	TRAV8-4		n/a
ENST00000390443	uc010tmm.2	TRAV8-6		n/a
ENST00000390450	uc001wcy.3	TRAV22		n/a
ENST00000390451	uc001wcz.2	TRAV23DV6		n/a
ENST00000390452	uc010tmp.1	TRDV1		n/a
ENST00000390453	uc001wdb.2	TRAV24		n/a
ENST00000390454	uc010ajh.1	TRAV25		n/a
ENST00000390455	uc010aji.1	TRAV26-1		n/a
ENST00000390458	uc001wdh.2	TRAV29DV5		n/a
ENST00000557168	uc001wdi.2	TRAV30		n/a
ENST00000390460	uc010ajm.2	TRAV26-2		n/a
ENST00000390461	uc001wdk.2	TRAV34		n/a
ENST00000390462	uc010ajn.1	AV25S1		n/a
ENST00000390436	uc021rpg.1	TRAV13-1		n/a
ENST00000390464	uc001wdn.3	TRAV38-1		n/a
ENST00000390437	uc010aiv.1	TRAV12-2		n/a
ENST00000390466	uc010ajq.1	TRAV39		n/a
ENST00000390467	uc001wdq.2	TRAV40		n/a
ENST00000390468	uc001wdr.2	TRAV41		n/a
ENST00000390469	uc001wdu.2	TRDV2		n/a
ENST00000390477	uc010aju.1	TRDC		n/a
ENST00000390477	uc010tms.2	TRDC		n/a
ENST00000390477	uc001wdx.4	TRDC		n/a
ENST00000390477	uc001wea.4	TRDC		n/a
ENST00000390441	uc021rpl.1	TRAV9-2		n/a
ENST00000390483	uc021rpy.1	TRAJ56		n/a
ENST00000390447	uc001wcu.4	TRAV19		n/a
ENST00000390447	uc021rpn.1	TRAV19		n/a
ENST00000390455	uc001wdd.2	TRAV26-1		n/a
ENST00000390465	uc010tmr.2	TRAV38-2DV8		n/a
ENST00000390493	uc010ajw.2	TRAJ44		n/a
ENST00000390495	uc021rpz.1	TRAJ42		n/a
ENST00000390497	uc021rqc.1	TRAJ40		n/a
ENST00000390498	uc021rqd.1	TRAJ39		n/a
ENST00000390499	uc021rqe.1	TRAJ38		n/a
ENST00000390500	uc021rqf.1	TCRA		n/a
ENST00000390501	uc021rqg.1	TCRA		n/a
ENST00000390502	uc001wfa.2	TRAJ35		n/a
ENST00000390506	uc021rqi.1	TRAJ31		n/a
ENST00000390460	uc021rpv.1	TRAV26-2		n/a
ENST00000390511	uc021rqj.1	TRAJ26		n/a
ENST00000390513	uc021rqk.1	TRAJ24		n/a
ENST00000390455	uc010ajj.1	TRAV26-1		n/a
ENST00000390515	uc021rql.1	TRAJ22		n/a
ENST00000390520	uc021rqm.1	TRAJ17		n/a
ENST00000390458	uc010ajl.1	TRAV29DV5		n/a
ENST00000390525	uc021rqn.1	TRAJ12		n/a
ENST00000390528	uc021rqq.1	TRAJ9		n/a
ENST00000390531	uc010akb.2	TRAJ6		n/a
ENST00000390444	uc001wco.3	TRAV16		n/a
ENST00000390445	uc010aje.1	TRAV17		n/a
ENST00000390445	uc001wcp.2	TRAV17		n/a
ENST00000390457	uc010ajk.2	TRAV27		n/a
ENST00000390463	uc010ajp.1	TRAV36DV7		n/a
ENST00000478163	uc001wbw.2	TRAC		n/a
ENST00000478163	uc001weg.2	TRAC		n/a
ENST00000478163	uc001weo.2	TRAC		n/a
ENST00000478163	uc001wet.3	TRAC		n/a
ENST00000478163	uc010ajx.1	TRAC		n/a
ENST00000478163	uc001wfd.1	TRAC		n/a
ENST00000478163	uc001wfh.1	TRAC		n/a
ENST00000478163	uc001wfq.2	TRAC		n/a
ENST00000478163	uc001wft.2	TRAC		n/a
ENST00000478163	uc001wfv.2	TRAC		n/a
ENST00000478163	uc001wfw.1	TRAC		n/a
ENST00000478163	uc010tmw.2	TRAC		n/a
ENST00000478163	uc001wgj.1	TRAC		n/a
ENST00000478163	uc001wcx.4	TRAC		n/a
ENST00000478163	uc001wdv.4	TRAC		n/a
ENST00000478163	uc001wec.3	TRAC		n/a
ENST00000478163	uc001wee.4	TRAC		n/a
ENST00000478163	uc001wei.3	TRAC		n/a
ENST00000478163	uc001wej.3	TRAC		n/a
ENST00000478163	uc001wek.3	TRAC		n/a
ENST00000478163	uc001wel.3	TRAC		n/a
ENST00000478163	uc001wem.4	TRAC		n/a
ENST00000478163	uc001wep.3	TRAC		n/a
ENST00000478163	uc001weq.3	TRAC		n/a
ENST00000478163	uc021rqb.1	TRAC		n/a
ENST00000478163	uc001weu.3	TRAC		n/a
ENST00000478163	uc001wev.3	TRAC		n/a
ENST00000478163	uc001wfe.3	TRAC		n/a
ENST00000478163	uc001wfk.3	TRAC		n/a
ENST00000478163	uc010ajy.2	TRAC		n/a
ENST00000478163	uc001wfn.3	TRAC		n/a
ENST00000478163	uc001wfp.3	TRAC		n/a
ENST00000478163	uc001wfx.3	TRAC		n/a
ENST00000478163	uc001wge.4	TRAC		n/a
ENST00000478163	uc021rqp.1	TRAC		n/a
ENST00000478163	uc010tmx.2	TRAC		n/a
ENST00000478163	uc001wgh.3	TRAC		n/a
ENST00000478163	uc001wgk.3	TRAC		n/a
ENST00000539344	uc010tmz.1	ABHD4	NM_022060	NM_022060
ENST00000428304	uc010tna.1	ABHD4		NM_022060
ENST00000428304	uc001wgm.3	ABHD4	NM_022060	NM_022060
ENST00000428304	uc010tnb.2	ABHD4		NM_022060
ENST00000483939	uc010tnc.2	OXA1L	NM_005015	NM_005015
ENST00000285848	uc001wgn.2	OXA1L	NM_005015	NM_005015
ENST00000358043	uc001wgp.2	OXA1L		NM_005015
ENST00000355151	uc001wgw.4	MRPL52	NM_178336	NM_178336
ENST00000355151	uc001wgx.4	MRPL52	NM_180982	NM_180982
ENST00000355151	uc001wgy.4	MRPL52	NM_181306	NM_181306
ENST00000355151	uc001wgz.4	MRPL52	NM_181305	NM_181305
ENST00000355151	uc001wha.4	MRPL52	NM_181304	NM_181304
